"model","rep","node","identity","blens","system"
"best","15","6","90.3636363636364",0.2,"HA"
"poisson","15","5","89.8181818181818",0.2,"HA"
"poisson","15","6","88.5454545454545",0.2,"HA"
"H1","15","5","93.2727272727273",0.2,"HA"
"H1","15","6","90.7272727272727",0.2,"HA"
"H3","15","5","92.5454545454545",0.2,"HA"
"H3","15","6","90.3636363636364",0.2,"HA"
"best","16","5","92",0.2,"HA"
"best","16","6","93.0909090909091",0.2,"HA"
"poisson","16","5","88.5454545454545",0.2,"HA"
"poisson","16","6","91.8181818181818",0.2,"HA"
"H1","16","5","92.3636363636364",0.2,"HA"
"H1","16","6","93.4545454545455",0.2,"HA"
"H3","16","5","92.3636363636364",0.2,"HA"
"H3","16","6","93.4545454545455",0.2,"HA"
"best","17","5","91.6363636363636",0.2,"HA"
"best","17","6","92",0.2,"HA"
"poisson","17","5","90.1818181818182",0.2,"HA"
"poisson","17","6","89.8181818181818",0.2,"HA"
"H1","17","5","91.0909090909091",0.2,"HA"
"H1","17","6","91.8181818181818",0.2,"HA"
"H3","17","5","91.2727272727273",0.2,"HA"
"H3","17","6","92.1818181818182",0.2,"HA"
"best","18","5","92.1818181818182",0.2,"HA"
"best","18","6","92.3636363636364",0.2,"HA"
"poisson","18","5","89.4545454545455",0.2,"HA"
"poisson","18","6","92",0.2,"HA"
"H1","18","5","93.4545454545455",0.2,"HA"
"H1","18","6","92.7272727272727",0.2,"HA"
"H3","18","5","92.1818181818182",0.2,"HA"
"H3","18","6","92.7272727272727",0.2,"HA"
"best","19","5","94.1818181818182",0.2,"HA"
"best","19","6","92.3636363636364",0.2,"HA"
"poisson","19","5","92",0.2,"HA"
"poisson","19","6","90.3636363636364",0.2,"HA"
"H1","19","5","94.7272727272727",0.2,"HA"
"H1","19","6","92.5454545454545",0.2,"HA"
"H3","19","5","93.8181818181818",0.2,"HA"
"H3","19","6","92.7272727272727",0.2,"HA"
"best","20","5","92.5454545454545",0.2,"HA"
"best","20","6","92",0.2,"HA"
"poisson","20","5","90.5454545454545",0.2,"HA"
"poisson","20","6","90.1818181818182",0.2,"HA"
"H1","20","5","92.9090909090909",0.2,"HA"
"H1","20","6","92.5454545454545",0.2,"HA"
"H3","20","5","92.9090909090909",0.2,"HA"
"H3","20","6","92.5454545454545",0.2,"HA"
"best","21","5","89.4545454545455",0.2,"HA"
"best","21","6","88.9090909090909",0.2,"HA"
"poisson","21","5","87.4545454545455",0.2,"HA"
"poisson","21","6","88.5454545454545",0.2,"HA"
"H1","21","5","90",0.2,"HA"
"H1","21","6","89.6363636363636",0.2,"HA"
"H3","21","5","89.6363636363636",0.2,"HA"
"H3","21","6","89.2727272727273",0.2,"HA"
"best","22","5","90",0.2,"HA"
"best","22","6","92.7272727272727",0.2,"HA"
"poisson","22","5","87.6363636363636",0.2,"HA"
"poisson","22","6","90.5454545454545",0.2,"HA"
"H1","22","5","90.7272727272727",0.2,"HA"
"H1","22","6","92.7272727272727",0.2,"HA"
"H3","22","5","90.3636363636364",0.2,"HA"
"H3","22","6","92.9090909090909",0.2,"HA"
"best","23","5","94",0.2,"HA"
"best","23","6","93.6363636363636",0.2,"HA"
"poisson","23","5","92.7272727272727",0.2,"HA"
"poisson","23","6","92",0.2,"HA"
"H1","23","5","94.1818181818182",0.2,"HA"
"H1","23","6","93.8181818181818",0.2,"HA"
"H3","23","5","94.1818181818182",0.2,"HA"
"H3","23","6","93.6363636363636",0.2,"HA"
"best","24","5","93.8181818181818",0.2,"HA"
"best","24","6","93.6363636363636",0.2,"HA"
"poisson","24","5","92.5454545454545",0.2,"HA"
"poisson","24","6","92",0.2,"HA"
"H1","24","5","94",0.2,"HA"
"H1","24","6","94.3636363636364",0.2,"HA"
"H3","24","5","93.6363636363636",0.2,"HA"
"H3","24","6","93.6363636363636",0.2,"HA"
"best","25","5","91.8181818181818",0.2,"HA"
"best","25","6","91.8181818181818",0.2,"HA"
"poisson","25","5","90.1818181818182",0.2,"HA"
"poisson","25","6","90.3636363636364",0.2,"HA"
"H1","25","5","92.7272727272727",0.2,"HA"
"H1","25","6","92.5454545454545",0.2,"HA"
"H3","25","5","92.7272727272727",0.2,"HA"
"H3","25","6","92.3636363636364",0.2,"HA"
"best","26","5","93.0909090909091",0.2,"HA"
"best","26","6","93.6363636363636",0.2,"HA"
"poisson","26","5","91.6363636363636",0.2,"HA"
"poisson","26","6","91.6363636363636",0.2,"HA"
"H1","26","5","92.9090909090909",0.2,"HA"
"H1","26","6","93.6363636363636",0.2,"HA"
"H3","26","5","92.9090909090909",0.2,"HA"
"H3","26","6","93.2727272727273",0.2,"HA"
"best","27","5","93.0909090909091",0.2,"HA"
"best","27","6","93.0909090909091",0.2,"HA"
"poisson","27","5","91.0909090909091",0.2,"HA"
"poisson","27","6","91.2727272727273",0.2,"HA"
"H1","27","5","94",0.2,"HA"
"H1","27","6","93.4545454545455",0.2,"HA"
"H3","27","5","93.6363636363636",0.2,"HA"
"H3","27","6","93.4545454545455",0.2,"HA"
"best","28","5","92.3636363636364",0.2,"HA"
"best","28","6","91.6363636363636",0.2,"HA"
"poisson","28","5","91.0909090909091",0.2,"HA"
"poisson","28","6","90.1818181818182",0.2,"HA"
"H1","28","5","93.2727272727273",0.2,"HA"
"H1","28","6","93.8181818181818",0.2,"HA"
"H3","28","5","92.9090909090909",0.2,"HA"
"H3","28","6","93.6363636363636",0.2,"HA"
"best","29","5","93.0909090909091",0.2,"HA"
"best","29","6","94",0.2,"HA"
"poisson","29","5","91.8181818181818",0.2,"HA"
"poisson","29","6","91.8181818181818",0.2,"HA"
"H1","29","5","93.4545454545455",0.2,"HA"
"H1","29","6","94.7272727272727",0.2,"HA"
"H3","29","5","93.8181818181818",0.2,"HA"
"H3","29","6","94.5454545454545",0.2,"HA"
"best","30","5","91.8181818181818",0.2,"HA"
"best","30","6","91.4545454545455",0.2,"HA"
"poisson","30","5","91.0909090909091",0.2,"HA"
"poisson","30","6","91.0909090909091",0.2,"HA"
"H1","30","5","92.9090909090909",0.2,"HA"
"H1","30","6","91.8181818181818",0.2,"HA"
"H3","30","5","92.9090909090909",0.2,"HA"
"H3","30","6","91.8181818181818",0.2,"HA"
"best","31","5","94",0.2,"HA"
"best","31","6","93.2727272727273",0.2,"HA"
"poisson","31","5","93.4545454545455",0.2,"HA"
"poisson","31","6","91.6363636363636",0.2,"HA"
"H1","31","5","94",0.2,"HA"
"H1","31","6","93.2727272727273",0.2,"HA"
"H3","31","5","94",0.2,"HA"
"H3","31","6","93.6363636363636",0.2,"HA"
"best","32","5","91.2727272727273",0.2,"HA"
"best","32","6","93.0909090909091",0.2,"HA"
"poisson","32","5","89.4545454545455",0.2,"HA"
"poisson","32","6","92.1818181818182",0.2,"HA"
"H1","32","5","91.2727272727273",0.2,"HA"
"H1","32","6","92.9090909090909",0.2,"HA"
"H3","32","5","90.9090909090909",0.2,"HA"
"H3","32","6","92.9090909090909",0.2,"HA"
"best","33","5","90.9090909090909",0.2,"HA"
"best","33","6","92.7272727272727",0.2,"HA"
"poisson","33","5","90.5454545454545",0.2,"HA"
"poisson","33","6","90.5454545454545",0.2,"HA"
"H1","33","5","92.9090909090909",0.2,"HA"
"H1","33","6","93.2727272727273",0.2,"HA"
"H3","33","5","92.5454545454545",0.2,"HA"
"H3","33","6","93.0909090909091",0.2,"HA"
"best","34","5","92.1818181818182",0.2,"HA"
"best","34","6","92.3636363636364",0.2,"HA"
"poisson","34","5","90.1818181818182",0.2,"HA"
"poisson","34","6","90.1818181818182",0.2,"HA"
"H1","34","5","93.4545454545455",0.2,"HA"
