"rep","node","model1","model2","identity","blens","system"
9,6,"best","kSR",97.3684210526316,0.2,"SR"
9,5,"poisson","ER",90.7894736842105,0.2,"SR"
9,6,"poisson","ER",84.2105263157895,0.2,"SR"
9,5,"poisson","kSR",89.4736842105263,0.2,"SR"
9,6,"poisson","kSR",85.5263157894737,0.2,"SR"
9,5,"ER","kSR",98.6842105263158,0.2,"SR"
9,6,"ER","kSR",98.6842105263158,0.2,"SR"
10,5,"best","poisson",93.4210526315789,0.2,"SR"
10,6,"best","poisson",93.4210526315789,0.2,"SR"
10,5,"best","ER",98.6842105263158,0.2,"SR"
10,6,"best","ER",94.7368421052632,0.2,"SR"
10,5,"best","kSR",98.6842105263158,0.2,"SR"
10,6,"best","kSR",97.3684210526316,0.2,"SR"
10,5,"poisson","ER",94.7368421052632,0.2,"SR"
10,6,"poisson","ER",96.0526315789474,0.2,"SR"
10,5,"poisson","kSR",94.7368421052632,0.2,"SR"
10,6,"poisson","kSR",93.4210526315789,0.2,"SR"
10,5,"ER","kSR",100,0.2,"SR"
10,6,"ER","kSR",92.1052631578947,0.2,"SR"
11,5,"best","poisson",98.6842105263158,0.2,"SR"
11,6,"best","poisson",98.6842105263158,0.2,"SR"
11,5,"best","ER",98.6842105263158,0.2,"SR"
11,6,"best","ER",97.3684210526316,0.2,"SR"
11,5,"best","kSR",97.3684210526316,0.2,"SR"
11,6,"best","kSR",98.6842105263158,0.2,"SR"
11,5,"poisson","ER",100,0.2,"SR"
11,6,"poisson","ER",96.0526315789474,0.2,"SR"
11,5,"poisson","kSR",98.6842105263158,0.2,"SR"
11,6,"poisson","kSR",97.3684210526316,0.2,"SR"
11,5,"ER","kSR",98.6842105263158,0.2,"SR"
11,6,"ER","kSR",98.6842105263158,0.2,"SR"
12,5,"best","poisson",94.7368421052632,0.2,"SR"
12,6,"best","poisson",96.0526315789474,0.2,"SR"
12,5,"best","ER",97.3684210526316,0.2,"SR"
12,6,"best","ER",98.6842105263158,0.2,"SR"
12,5,"best","kSR",97.3684210526316,0.2,"SR"
12,6,"best","kSR",100,0.2,"SR"
12,5,"poisson","ER",94.7368421052632,0.2,"SR"
12,6,"poisson","ER",96.0526315789474,0.2,"SR"
12,5,"poisson","kSR",94.7368421052632,0.2,"SR"
12,6,"poisson","kSR",96.0526315789474,0.2,"SR"
12,5,"ER","kSR",100,0.2,"SR"
12,6,"ER","kSR",98.6842105263158,0.2,"SR"
13,5,"best","poisson",92.1052631578947,0.2,"SR"
13,6,"best","poisson",97.3684210526316,0.2,"SR"
13,5,"best","ER",85.5263157894737,0.2,"SR"
13,6,"best","ER",97.3684210526316,0.2,"SR"
13,5,"best","kSR",90.7894736842105,0.2,"SR"
13,6,"best","kSR",97.3684210526316,0.2,"SR"
13,5,"poisson","ER",93.4210526315789,0.2,"SR"
13,6,"poisson","ER",97.3684210526316,0.2,"SR"
13,5,"poisson","kSR",96.0526315789474,0.2,"SR"
13,6,"poisson","kSR",97.3684210526316,0.2,"SR"
13,5,"ER","kSR",94.7368421052632,0.2,"SR"
13,6,"ER","kSR",100,0.2,"SR"
14,5,"best","poisson",85.5263157894737,0.2,"SR"
14,6,"best","poisson",89.4736842105263,0.2,"SR"
14,5,"best","ER",97.3684210526316,0.2,"SR"
14,6,"best","ER",92.1052631578947,0.2,"SR"
14,5,"best","kSR",93.4210526315789,0.2,"SR"
14,6,"best","kSR",93.4210526315789,0.2,"SR"
14,5,"poisson","ER",88.1578947368421,0.2,"SR"
14,6,"poisson","ER",93.4210526315789,0.2,"SR"
14,5,"poisson","kSR",88.1578947368421,0.2,"SR"
14,6,"poisson","kSR",90.7894736842105,0.2,"SR"
14,5,"ER","kSR",93.4210526315789,0.2,"SR"
14,6,"ER","kSR",97.3684210526316,0.2,"SR"
15,5,"best","poisson",98.6842105263158,0.2,"SR"
15,6,"best","poisson",93.4210526315789,0.2,"SR"
15,5,"best","ER",100,0.2,"SR"
15,6,"best","ER",98.6842105263158,0.2,"SR"
15,5,"best","kSR",100,0.2,"SR"
15,6,"best","kSR",98.6842105263158,0.2,"SR"
15,5,"poisson","ER",98.6842105263158,0.2,"SR"
15,6,"poisson","ER",94.7368421052632,0.2,"SR"
15,5,"poisson","kSR",98.6842105263158,0.2,"SR"
15,6,"poisson","kSR",94.7368421052632,0.2,"SR"
15,5,"ER","kSR",100,0.2,"SR"
15,6,"ER","kSR",100,0.2,"SR"
16,5,"best","poisson",96.0526315789474,0.2,"SR"
16,6,"best","poisson",94.7368421052632,0.2,"SR"
16,5,"best","ER",98.6842105263158,0.2,"SR"
16,6,"best","ER",98.6842105263158,0.2,"SR"
16,5,"best","kSR",98.6842105263158,0.2,"SR"
16,6,"best","kSR",98.6842105263158,0.2,"SR"
16,5,"poisson","ER",97.3684210526316,0.2,"SR"
16,6,"poisson","ER",93.4210526315789,0.2,"SR"
16,5,"poisson","kSR",97.3684210526316,0.2,"SR"
16,6,"poisson","kSR",96.0526315789474,0.2,"SR"
16,5,"ER","kSR",100,0.2,"SR"
16,6,"ER","kSR",97.3684210526316,0.2,"SR"
17,5,"best","poisson",98.6842105263158,0.2,"SR"
17,6,"best","poisson",94.7368421052632,0.2,"SR"
17,5,"best","ER",98.6842105263158,0.2,"SR"
17,6,"best","ER",96.0526315789474,0.2,"SR"
17,5,"best","kSR",98.6842105263158,0.2,"SR"
17,6,"best","kSR",97.3684210526316,0.2,"SR"
17,5,"poisson","ER",100,0.2,"SR"
17,6,"poisson","ER",93.4210526315789,0.2,"SR"
17,5,"poisson","kSR",100,0.2,"SR"
17,6,"poisson","kSR",94.7368421052632,0.2,"SR"
17,5,"ER","kSR",100,0.2,"SR"
17,6,"ER","kSR",98.6842105263158,0.2,"SR"
18,5,"best","poisson",100,0.2,"SR"
18,6,"best","poisson",94.7368421052632,0.2,"SR"
18,5,"best","ER",98.6842105263158,0.2,"SR"
18,6,"best","ER",96.0526315789474,0.2,"SR"
18,5,"best","kSR",97.3684210526316,0.2,"SR"
18,6,"best","kSR",94.7368421052632,0.2,"SR"
18,5,"poisson","ER",98.6842105263158,0.2,"SR"
18,6,"poisson","ER",94.7368421052632,0.2,"SR"
18,5,"poisson","kSR",97.3684210526316,0.2,"SR"
18,6,"poisson","kSR",92.1052631578947,0.2,"SR"
18,5,"ER","kSR",98.6842105263158,0.2,"SR"
18,6,"ER","kSR",94.7368421052632,0.2,"SR"
19,5,"best","poisson",97.3684210526316,0.2,"SR"
19,6,"best","poisson",92.1052631578947,0.2,"SR"
19,5,"best","ER",96.0526315789474,0.2,"SR"
19,6,"best","ER",94.7368421052632,0.2,"SR"
19,5,"best","kSR",98.6842105263158,0.2,"SR"
19,6,"best","kSR",94.7368421052632,0.2,"SR"
19,5,"poisson","ER",94.7368421052632,0.2,"SR"
19,6,"poisson","ER",90.7894736842105,0.2,"SR"
19,5,"poisson","kSR",97.3684210526316,0.2,"SR"
19,6,"poisson","kSR",90.7894736842105,0.2,"SR"
19,5,"ER","kSR",97.3684210526316,0.2,"SR"
19,6,"ER","kSR",98.6842105263158,0.2,"SR"
20,5,"best","poisson",92.1052631578947,0.2,"SR"
20,6,"best","poisson",90.7894736842105,0.2,"SR"
20,5,"best","ER",90.7894736842105,0.2,"SR"
20,6,"best","ER",92.1052631578947,0.2,"SR"
20,5,"best","kSR",92.1052631578947,0.2,"SR"
20,6,"best","kSR",93.4210526315789,0.2,"SR"
20,5,"poisson","ER",89.4736842105263,0.2,"SR"
20,6,"poisson","ER",85.5263157894737,0.2,"SR"
20,5,"poisson","kSR",90.7894736842105,0.2,"SR"
20,6,"poisson","kSR",86.8421052631579,0.2,"SR"
20,5,"ER","kSR",97.3684210526316,0.2,"SR"
20,6,"ER","kSR",98.6842105263158,0.2,"SR"
21,5,"best","poisson",89.4736842105263,0.2,"SR"
21,6,"best","poisson",98.6842105263158,0.2,"SR"
21,5,"best","ER",90.7894736842105,0.2,"SR"
21,6,"best","ER",98.6842105263158,0.2,"SR"
21,5,"best","kSR",92.1052631578947,0.2,"SR"
21,6,"best","kSR",97.3684210526316,0.2,"SR"
21,5,"poisson","ER",96.0526315789474,0.2,"SR"
21,6,"poisson","ER",100,0.2,"SR"
21,5,"poisson","kSR",94.7368421052632,0.2,"SR"
21,6,"poisson","kSR",98.6842105263158,0.2,"SR"
21,5,"ER","kSR",98.6842105263158,0.2,"SR"
21,6,"ER","kSR",98.6842105263158,0.2,"SR"
22,5,"best","poisson",94.7368421052632,0.2,"SR"
22,6,"best","poisson",98.6842105263158,0.2,"SR"
22,5,"best","ER",98.6842105263158,0.2,"SR"
22,6,"best","ER",96.0526315789474,0.2,"SR"
22,5,"best","kSR",98.6842105263158,0.2,"SR"
22,6,"best","kSR",97.3684210526316,0.2,"SR"
22,5,"poisson","ER",94.7368421052632,0.2,"SR"
22,6,"poisson","ER",96.0526315789474,0.2,"SR"
22,5,"poisson","kSR",94.7368421052632,0.2,"SR"
22,6,"poisson","kSR",97.3684210526316,0.2,"SR"
22,5,"ER","kSR",100,0.2,"SR"
22,6,"ER","kSR",98.6842105263158,0.2,"SR"
23,5,"best","poisson",94.7368421052632,0.2,"SR"
23,6,"best","poisson",96.0526315789474,0.2,"SR"
23,5,"best","ER",98.6842105263158,0.2,"SR"
23,6,"best","ER",98.6842105263158,0.2,"SR"
23,5,"best","kSR",97.3684210526316,0.2,"SR"
23,6,"best","kSR",100,0.2,"SR"
23,5,"poisson","ER",94.7368421052632,0.2,"SR"
23,6,"poisson","ER",97.3684210526316,0.2,"SR"
23,5,"poisson","kSR",96.0526315789474,0.2,"SR"
23,6,"poisson","kSR",96.0526315789474,0.2,"SR"
23,5,"ER","kSR",98.6842105263158,0.2,"SR"
23,6,"ER","kSR",98.6842105263158,0.2,"SR"
24,5,"best","poisson",94.7368421052632,0.2,"SR"
24,6,"best","poisson",97.3684210526316,0.2,"SR"
24,5,"best","ER",81.5789473684211,0.2,"SR"
24,6,"best","ER",94.7368421052632,0.2,"SR"
24,5,"best","kSR",84.2105263157895,0.2,"SR"
24,6,"best","kSR",94.7368421052632,0.2,"SR"
