"category","proportion","reconstruction","system","blens"
"True",0.00377406623748856,"SH","SR",0.2
"Misleading",0.957731015553522,"SH","SR",0.2
"Absent",0.548389530059591,"SH","SR",0.2
"True",0.00558231666141449,"SS","SR",0.2
"Misleading",0.92772186642269,"SS","SR",0.2
"Absent",0.530663045937995,"SS","SR",0.2
