"category","proportion","system","blens"
"Same error",0.0630986842105263,"SR",0.2
"Different error",0.0100657894736842,"SR",0.2
"Only SH correct",0.0113684210526316,"SR",0.2
"Only SS correct",0.0124078947368421,"SR",0.2
