"bin_midpoint","model","prop_true","total_elements","prop_correct","blens","system"
0.025,"H1",1942,314200,0.00618077657542966,0.2,"HA"
0.075,"H1",1359,18483,0.0735270248336309,0.2,"HA"
0.125,"H1",1113,8929,0.124650016799194,0.2,"HA"
0.175,"H1",726,4453,0.163036155400853,0.2,"HA"
0.225,"H1",634,2788,0.227403156384505,0.2,"HA"
0.275,"H1",608,2193,0.277245782033744,0.2,"HA"
0.325,"H1",670,2008,0.333665338645418,0.2,"HA"
0.375,"H1",752,1936,0.388429752066116,0.2,"HA"
0.425,"H1",724,1687,0.429164196799052,0.2,"HA"
0.475,"H1",741,1556,0.476221079691517,0.2,"HA"
0.525,"H1",726,1385,0.524187725631769,0.2,"HA"
0.575,"H1",674,1234,0.546191247974068,0.2,"HA"
0.625,"H1",685,1159,0.591026747195858,0.2,"HA"
0.675,"H1",891,1334,0.66791604197901,0.2,"HA"
0.725,"H1",1034,1401,0.738044254104211,0.2,"HA"
0.775,"H1",1557,1992,0.781626506024096,0.2,"HA"
0.825,"H1",2691,3241,0.830299290342487,0.2,"HA"
0.875,"H1",5286,6039,0.875310481867859,0.2,"HA"
0.925,"H1",9705,10503,0.924021708083405,0.2,"HA"
0.975,"H1",77380,77896,0.993375783095409,0.2,"HA"
0.025,"H3",2257,237705,0.00949496224311647,0.2,"HA"
0.075,"H3",1475,16910,0.0872264931992904,0.2,"HA"
0.125,"H3",905,6834,0.132426104770266,0.2,"HA"
0.175,"H3",566,3296,0.171723300970874,0.2,"HA"
0.225,"H3",554,2351,0.235644406635474,0.2,"HA"
0.275,"H3",584,1962,0.297655453618756,0.2,"HA"
0.325,"H3",649,1949,0.332991277578245,0.2,"HA"
0.375,"H3",729,1916,0.380480167014614,0.2,"HA"
0.425,"H3",704,1717,0.410017472335469,0.2,"HA"
0.475,"H3",692,1503,0.4604125083167,0.2,"HA"
0.525,"H3",652,1324,0.492447129909366,0.2,"HA"
0.575,"H3",634,1167,0.543273350471294,0.2,"HA"
0.625,"H3",542,985,0.550253807106599,0.2,"HA"
0.675,"H3",673,1042,0.645873320537428,0.2,"HA"
0.725,"H3",804,1202,0.668885191347754,0.2,"HA"
0.775,"H3",1195,1655,0.722054380664653,0.2,"HA"
0.825,"H3",1877,2347,0.7997443544951,0.2,"HA"
0.875,"H3",3706,4327,0.856482551421308,0.2,"HA"
0.925,"H3",9329,10321,0.903885282433873,0.2,"HA"
0.975,"H3",81289,82150,0.989519172245892,0.2,"HA"
0.025,"best",2412,238222,0.0101250094449715,0.2,"HA"
0.075,"best",1293,17431,0.0741781882852389,0.2,"HA"
0.125,"best",930,8070,0.115241635687732,0.2,"HA"
0.175,"best",698,4344,0.160681399631676,0.2,"HA"
0.225,"best",659,3058,0.215500327011118,0.2,"HA"
0.275,"best",657,2404,0.273294509151414,0.2,"HA"
0.325,"best",657,2062,0.318622696411251,0.2,"HA"
0.375,"best",682,1761,0.387279954571266,0.2,"HA"
0.425,"best",669,1607,0.416303671437461,0.2,"HA"
0.475,"best",681,1507,0.451891174518912,0.2,"HA"
0.525,"best",686,1362,0.50367107195301,0.2,"HA"
0.575,"best",733,1399,0.523945675482487,0.2,"HA"
0.625,"best",893,1477,0.604603926878808,0.2,"HA"
0.675,"best",971,1475,0.658305084745763,0.2,"HA"
0.725,"best",1038,1501,0.691538974017322,0.2,"HA"
0.775,"best",1365,1755,0.777777777777778,0.2,"HA"
0.825,"best",1948,2366,0.823330515638208,0.2,"HA"
0.875,"best",4281,4903,0.873138894554354,0.2,"HA"
0.925,"best",8845,9684,0.91336224700537,0.2,"HA"
0.975,"best",79637,80479,0.98953764336038,0.2,"HA"
0.025,"poisson",3817,315548,0.0120964163930686,0.2,"HA"
0.075,"poisson",577,4561,0.126507344880509,0.2,"HA"
0.125,"poisson",550,5434,0.101214574898785,0.2,"HA"
0.175,"poisson",66,412,0.160194174757282,0.2,"HA"
0.225,"poisson",508,1635,0.310703363914373,0.2,"HA"
0.275,"poisson",2140,6867,0.311635357506917,0.2,"HA"
0.325,"poisson",2240,7550,0.296688741721854,0.2,"HA"
0.375,"poisson",1113,3503,0.317727662003997,0.2,"HA"
0.425,"poisson",361,1040,0.347115384615385,0.2,"HA"
0.475,"poisson",377,797,0.473023839397742,0.2,"HA"
0.525,"poisson",289,614,0.470684039087948,0.2,"HA"
0.575,"poisson",190,395,0.481012658227848,0.2,"HA"
0.625,"poisson",90,169,0.532544378698225,0.2,"HA"
0.675,"poisson",15,40,0.375,0.2,"HA"
0.725,"poisson",6,8,0.75,0.2,"HA"
0.825,"poisson",37,56,0.660714285714286,0.2,"HA"
0.875,"poisson",1079,1489,0.724647414372062,0.2,"HA"
0.925,"poisson",3624,4853,0.746754584792912,0.2,"HA"
0.975,"poisson",92104,94317,0.976536573470318,0.2,"HA"
