"model","rep","mean_max","blens","system"
"best","1","0.943026315789474",0.2,"SR"
"best","1","0.949013157894737",0.2,"SR"
"best","2","0.977842105263158",0.2,"SR"
"best","2","0.940526315789474",0.2,"SR"
"best","3","0.91175",0.2,"SR"
"best","3","0.868802631578947",0.2,"SR"
"best","4","0.955776315789474",0.2,"SR"
"best","4","0.971157894736842",0.2,"SR"
"best","5","0.912539473684211",0.2,"SR"
"best","5","0.904776315789474",0.2,"SR"
"best","6","0.874855263157895",0.2,"SR"
"best","6","0.846855263157895",0.2,"SR"
"best","7","0.926144736842105",0.2,"SR"
"best","7","0.912368421052632",0.2,"SR"
"best","8","0.964802631578947",0.2,"SR"
"best","8","0.963539473684211",0.2,"SR"
"best","9","0.909618421052632",0.2,"SR"
"best","9","0.864631578947368",0.2,"SR"
"best","10","0.928263157894737",0.2,"SR"
"best","10","0.927210526315789",0.2,"SR"
"best","11","0.971052631578947",0.2,"SR"
"best","11","0.979171052631579",0.2,"SR"
"best","12","0.94775",0.2,"SR"
"best","12","0.933973684210526",0.2,"SR"
"best","13","0.880039473684211",0.2,"SR"
"best","13","0.92496052631579",0.2,"SR"
"best","14","0.913565789473684",0.2,"SR"
"best","14","0.893394736842105",0.2,"SR"
"best","15","0.961815789473684",0.2,"SR"
"best","15","0.943289473684211",0.2,"SR"
"best","16","0.933065789473684",0.2,"SR"
"best","16","0.948894736842105",0.2,"SR"
"best","17","0.963",0.2,"SR"
"best","17","0.937473684210526",0.2,"SR"
"best","18","0.970763157894737",0.2,"SR"
"best","18","0.931144736842105",0.2,"SR"
"best","19","0.947342105263158",0.2,"SR"
"best","19","0.909342105263158",0.2,"SR"
"best","20","0.855302631578947",0.2,"SR"
"best","20","0.845052631578947",0.2,"SR"
"best","21","0.912118421052632",0.2,"SR"
"best","21","0.948368421052632",0.2,"SR"
"best","22","0.919302631578947",0.2,"SR"
"best","22","0.927565789473684",0.2,"SR"
"best","23","0.936276315789474",0.2,"SR"
"best","23","0.934907894736842",0.2,"SR"
"best","24","0.884184210526316",0.2,"SR"
"best","24","0.921881578947368",0.2,"SR"
"best","25","0.918421052631579",0.2,"SR"
"best","25","0.933473684210526",0.2,"SR"
"best","26","0.954671052631579",0.2,"SR"
"best","26","0.938657894736842",0.2,"SR"
"best","27","0.932026315789474",0.2,"SR"
"best","27","0.926526315789474",0.2,"SR"
"best","28","0.984710526315789",0.2,"SR"
"best","28","0.986171052631579",0.2,"SR"
"best","29","0.903815789473684",0.2,"SR"
