"category","proportion","reconstruction","system","blens"
"True",0.00131138738589897,"SH","HA",0.2
"Misleading",0.969775251872901,"SH","HA",0.2
"Absent",0.467205169628433,"SH","HA",0.2
"True",0.00197224402131263,"SS","HA",0.2
"Misleading",0.936708860759494,"SS","HA",0.2
"Absent",0.431879375336564,"SS","HA",0.2
