"category","proportion","reconstruction","system","blens"
"True",0.000888883363584376,"SH","RBD",0.2
"Misleading",0.985465556396669,"SH","RBD",0.2
"Absent",0.578827742957504,"SH","RBD",0.2
"True",0.00270394589621821,"SS","RBD",0.2
"Misleading",0.945950037850114,"SS","RBD",0.2
"Absent",0.538948963427233,"SS","RBD",0.2
