"bin_midpoint","model","prop_true","total_elements","prop_correct","blens","system"
0.025,"ER",3941,410365,0.00960364553507244,0.2,"SR"
0.075,"ER",1989,23725,0.0838356164383562,0.2,"SR"
0.125,"ER",1436,11044,0.130025353132923,0.2,"SR"
0.175,"ER",1216,6665,0.182445611402851,0.2,"SR"
0.225,"ER",1079,4615,0.233802816901408,0.2,"SR"
0.275,"ER",958,3569,0.268422527318577,0.2,"SR"
0.325,"ER",913,2934,0.311179277436946,0.2,"SR"
0.375,"ER",927,2485,0.373038229376258,0.2,"SR"
0.425,"ER",873,2214,0.394308943089431,0.2,"SR"
0.475,"ER",932,2032,0.458661417322835,0.2,"SR"
0.525,"ER",865,1915,0.451697127937337,0.2,"SR"
0.575,"ER",937,1818,0.515401540154015,0.2,"SR"
0.625,"ER",1123,1930,0.581865284974093,0.2,"SR"
0.675,"ER",1229,1951,0.629933367503844,0.2,"SR"
0.725,"ER",1647,2403,0.685393258426966,0.2,"SR"
0.775,"ER",2206,3005,0.734109816971714,0.2,"SR"
0.825,"ER",3138,3886,0.807514153371076,0.2,"SR"
0.875,"ER",4921,5785,0.850648228176318,0.2,"SR"
0.925,"ER",9497,10569,0.898571293405242,0.2,"SR"
0.975,"ER",111514,112986,0.98697183721877,0.2,"SR"
0.025,"best",4435,341012,0.0130054074343425,0.2,"SR"
0.075,"best",1810,22117,0.0818375005651761,0.2,"SR"
0.125,"best",1349,10908,0.123670700403374,0.2,"SR"
0.175,"best",1128,6786,0.166224580017683,0.2,"SR"
0.225,"best",1039,4939,0.210366470945536,0.2,"SR"
0.275,"best",973,3806,0.255648975302154,0.2,"SR"
0.325,"best",935,3086,0.30298120544394,0.2,"SR"
0.375,"best",903,2683,0.336563548266865,0.2,"SR"
0.425,"best",965,2443,0.395006139991813,0.2,"SR"
0.475,"best",924,2136,0.432584269662921,0.2,"SR"
0.525,"best",966,2004,0.482035928143713,0.2,"SR"
0.575,"best",1050,2009,0.522648083623693,0.2,"SR"
0.625,"best",1090,1953,0.558115719406042,0.2,"SR"
0.675,"best",1297,2043,0.634850709740578,0.2,"SR"
0.725,"best",1482,2173,0.682006442705936,0.2,"SR"
0.775,"best",1816,2477,0.733144933387162,0.2,"SR"
0.825,"best",2704,3445,0.784905660377359,0.2,"SR"
0.875,"best",4440,5246,0.846359130766298,0.2,"SR"
0.925,"best",8221,9261,0.887701112190908,0.2,"SR"
0.975,"best",113748,115402,0.985667492764423,0.2,"SR"
0.025,"kSR",4299,364248,0.0118023983659485,0.2,"SR"
0.075,"kSR",1918,21271,0.090169714634949,0.2,"SR"
0.125,"kSR",1350,9685,0.13939081053175,0.2,"SR"
0.175,"kSR",1074,5802,0.185108583247156,0.2,"SR"
0.225,"kSR",1003,4144,0.24203667953668,0.2,"SR"
0.275,"kSR",856,3156,0.271229404309252,0.2,"SR"
0.325,"kSR",848,2710,0.312915129151291,0.2,"SR"
0.375,"kSR",747,2212,0.337703435804702,0.2,"SR"
0.425,"kSR",795,1978,0.401921132457027,0.2,"SR"
0.475,"kSR",798,1896,0.420886075949367,0.2,"SR"
0.525,"kSR",789,1693,0.466036621382162,0.2,"SR"
0.575,"kSR",840,1630,0.515337423312883,0.2,"SR"
0.625,"kSR",948,1716,0.552447552447552,0.2,"SR"
0.675,"kSR",1039,1729,0.600925390399075,0.2,"SR"
0.725,"kSR",1287,1991,0.646408839779006,0.2,"SR"
0.775,"kSR",1837,2593,0.70844581565754,0.2,"SR"
0.825,"kSR",2490,3305,0.753403933434191,0.2,"SR"
0.875,"kSR",4322,5156,0.838246702870442,0.2,"SR"
0.925,"kSR",8786,10033,0.875710156483604,0.2,"SR"
0.975,"kSR",115419,117015,0.986360722984233,0.2,"SR"
0.025,"poisson",5978,467677,0.0127823262636392,0.2,"SR"
0.075,"poisson",1093,8520,0.128286384976526,0.2,"SR"
0.125,"poisson",1068,6238,0.171208720743828,0.2,"SR"
0.175,"poisson",1341,5569,0.240797270605136,0.2,"SR"
0.225,"poisson",1458,5242,0.278138115223197,0.2,"SR"
0.275,"poisson",1474,5019,0.293684000796971,0.2,"SR"
0.325,"poisson",1239,4088,0.303082191780822,0.2,"SR"
0.375,"poisson",1001,3168,0.315972222222222,0.2,"SR"
0.425,"poisson",653,2200,0.296818181818182,0.2,"SR"
0.475,"poisson",584,1790,0.326256983240223,0.2,"SR"
0.525,"poisson",401,1220,0.328688524590164,0.2,"SR"
0.575,"poisson",294,841,0.349583828775268,0.2,"SR"
0.625,"poisson",249,681,0.365638766519824,0.2,"SR"
0.675,"poisson",303,665,0.455639097744361,0.2,"SR"
0.725,"poisson",299,592,0.505067567567568,0.2,"SR"
0.775,"poisson",408,719,0.567454798331015,0.2,"SR"
0.825,"poisson",629,1026,0.613060428849903,0.2,"SR"
0.875,"poisson",1347,1860,0.724193548387097,0.2,"SR"
0.925,"poisson",3287,4395,0.747895335608646,0.2,"SR"
0.975,"poisson",127662,131179,0.973189306215172,0.2,"SR"
