"rep","node","model1","model2","identity","blens","system"
9,6,"best","H3",98,0.2,"HA"
9,5,"poisson","H1",94.7272727272727,0.2,"HA"
9,6,"poisson","H1",96.1818181818182,0.2,"HA"
9,5,"poisson","H3",95.0909090909091,0.2,"HA"
9,6,"poisson","H3",95.8181818181818,0.2,"HA"
9,5,"H1","H3",98.9090909090909,0.2,"HA"
9,6,"H1","H3",98.9090909090909,0.2,"HA"
10,5,"best","poisson",92.1818181818182,0.2,"HA"
10,6,"best","poisson",92.9090909090909,0.2,"HA"
10,5,"best","H1",98,0.2,"HA"
10,6,"best","H1",98.5454545454545,0.2,"HA"
10,5,"best","H3",98.1818181818182,0.2,"HA"
10,6,"best","H3",98.5454545454545,0.2,"HA"
10,5,"poisson","H1",91.8181818181818,0.2,"HA"
10,6,"poisson","H1",92.7272727272727,0.2,"HA"
10,5,"poisson","H3",92,0.2,"HA"
10,6,"poisson","H3",92.5454545454545,0.2,"HA"
10,5,"H1","H3",99.2727272727273,0.2,"HA"
10,6,"H1","H3",99.6363636363636,0.2,"HA"
11,5,"best","poisson",94.5454545454545,0.2,"HA"
11,6,"best","poisson",94.1818181818182,0.2,"HA"
11,5,"best","H1",96.7272727272727,0.2,"HA"
11,6,"best","H1",98.1818181818182,0.2,"HA"
11,5,"best","H3",97.2727272727273,0.2,"HA"
11,6,"best","H3",98.1818181818182,0.2,"HA"
11,5,"poisson","H1",94.3636363636364,0.2,"HA"
11,6,"poisson","H1",94.1818181818182,0.2,"HA"
11,5,"poisson","H3",94,0.2,"HA"
11,6,"poisson","H3",94.1818181818182,0.2,"HA"
11,5,"H1","H3",98.5454545454545,0.2,"HA"
11,6,"H1","H3",99.2727272727273,0.2,"HA"
12,5,"best","poisson",96.9090909090909,0.2,"HA"
12,6,"best","poisson",95.0909090909091,0.2,"HA"
12,5,"best","H1",97.6363636363636,0.2,"HA"
12,6,"best","H1",97.8181818181818,0.2,"HA"
12,5,"best","H3",98,0.2,"HA"
12,6,"best","H3",97.8181818181818,0.2,"HA"
12,5,"poisson","H1",96.3636363636364,0.2,"HA"
12,6,"poisson","H1",95.0909090909091,0.2,"HA"
12,5,"poisson","H3",96.5454545454545,0.2,"HA"
12,6,"poisson","H3",95.4545454545455,0.2,"HA"
12,5,"H1","H3",99.6363636363636,0.2,"HA"
12,6,"H1","H3",99.2727272727273,0.2,"HA"
13,5,"best","poisson",95.8181818181818,0.2,"HA"
13,6,"best","poisson",95.8181818181818,0.2,"HA"
13,5,"best","H1",97.8181818181818,0.2,"HA"
13,6,"best","H1",99.2727272727273,0.2,"HA"
13,5,"best","H3",98,0.2,"HA"
13,6,"best","H3",98.5454545454545,0.2,"HA"
13,5,"poisson","H1",96.1818181818182,0.2,"HA"
13,6,"poisson","H1",96.3636363636364,0.2,"HA"
13,5,"poisson","H3",96.1818181818182,0.2,"HA"
13,6,"poisson","H3",96,0.2,"HA"
13,5,"H1","H3",98.9090909090909,0.2,"HA"
13,6,"H1","H3",98.5454545454545,0.2,"HA"
14,5,"best","poisson",96.1818181818182,0.2,"HA"
14,6,"best","poisson",95.6363636363636,0.2,"HA"
14,5,"best","H1",98,0.2,"HA"
14,6,"best","H1",98.1818181818182,0.2,"HA"
14,5,"best","H3",97.8181818181818,0.2,"HA"
14,6,"best","H3",97.8181818181818,0.2,"HA"
14,5,"poisson","H1",96,0.2,"HA"
14,6,"poisson","H1",95.0909090909091,0.2,"HA"
14,5,"poisson","H3",96.1818181818182,0.2,"HA"
14,6,"poisson","H3",95.2727272727273,0.2,"HA"
14,5,"H1","H3",99.0909090909091,0.2,"HA"
14,6,"H1","H3",98.9090909090909,0.2,"HA"
15,5,"best","poisson",95.0909090909091,0.2,"HA"
15,6,"best","poisson",94,0.2,"HA"
15,5,"best","H1",98.1818181818182,0.2,"HA"
15,6,"best","H1",97.4545454545455,0.2,"HA"
15,5,"best","H3",98.3636363636364,0.2,"HA"
15,6,"best","H3",98,0.2,"HA"
15,5,"poisson","H1",94.5454545454545,0.2,"HA"
15,6,"poisson","H1",93.0909090909091,0.2,"HA"
15,5,"poisson","H3",94.9090909090909,0.2,"HA"
15,6,"poisson","H3",93.8181818181818,0.2,"HA"
15,5,"H1","H3",98.1818181818182,0.2,"HA"
15,6,"H1","H3",98.5454545454545,0.2,"HA"
16,5,"best","poisson",92.3636363636364,0.2,"HA"
16,6,"best","poisson",93.2727272727273,0.2,"HA"
16,5,"best","H1",97.2727272727273,0.2,"HA"
16,6,"best","H1",97.2727272727273,0.2,"HA"
16,5,"best","H3",98.1818181818182,0.2,"HA"
16,6,"best","H3",97.8181818181818,0.2,"HA"
16,5,"poisson","H1",92.1818181818182,0.2,"HA"
16,6,"poisson","H1",93.0909090909091,0.2,"HA"
16,5,"poisson","H3",92.5454545454545,0.2,"HA"
16,6,"poisson","H3",93.2727272727273,0.2,"HA"
16,5,"H1","H3",98.3636363636364,0.2,"HA"
16,6,"H1","H3",98.7272727272727,0.2,"HA"
17,5,"best","poisson",93.6363636363636,0.2,"HA"
17,6,"best","poisson",93.6363636363636,0.2,"HA"
17,5,"best","H1",97.0909090909091,0.2,"HA"
17,6,"best","H1",98,0.2,"HA"
17,5,"best","H3",97.6363636363636,0.2,"HA"
17,6,"best","H3",97.2727272727273,0.2,"HA"
17,5,"poisson","H1",94.5454545454545,0.2,"HA"
17,6,"poisson","H1",93.4545454545455,0.2,"HA"
17,5,"poisson","H3",94.1818181818182,0.2,"HA"
17,6,"poisson","H3",93.4545454545455,0.2,"HA"
17,5,"H1","H3",99.4545454545455,0.2,"HA"
17,6,"H1","H3",98.5454545454545,0.2,"HA"
18,5,"best","poisson",95.0909090909091,0.2,"HA"
18,6,"best","poisson",96.1818181818182,0.2,"HA"
18,5,"best","H1",97.2727272727273,0.2,"HA"
18,6,"best","H1",96.5454545454545,0.2,"HA"
18,5,"best","H3",97.2727272727273,0.2,"HA"
18,6,"best","H3",97.2727272727273,0.2,"HA"
18,5,"poisson","H1",94.5454545454545,0.2,"HA"
18,6,"poisson","H1",95.4545454545455,0.2,"HA"
18,5,"poisson","H3",95.0909090909091,0.2,"HA"
18,6,"poisson","H3",96.1818181818182,0.2,"HA"
18,5,"H1","H3",97.4545454545455,0.2,"HA"
18,6,"H1","H3",98.7272727272727,0.2,"HA"
19,5,"best","poisson",95.0909090909091,0.2,"HA"
19,6,"best","poisson",95.6363636363636,0.2,"HA"
19,5,"best","H1",98.3636363636364,0.2,"HA"
19,6,"best","H1",99.0909090909091,0.2,"HA"
19,5,"best","H3",97.4545454545455,0.2,"HA"
19,6,"best","H3",98.7272727272727,0.2,"HA"
19,5,"poisson","H1",94.3636363636364,0.2,"HA"
19,6,"poisson","H1",95.2727272727273,0.2,"HA"
19,5,"poisson","H3",94.3636363636364,0.2,"HA"
19,6,"poisson","H3",95.4545454545455,0.2,"HA"
19,5,"H1","H3",98.7272727272727,0.2,"HA"
19,6,"H1","H3",99.0909090909091,0.2,"HA"
20,5,"best","poisson",94,0.2,"HA"
20,6,"best","poisson",94.5454545454545,0.2,"HA"
20,5,"best","H1",97.8181818181818,0.2,"HA"
20,6,"best","H1",97.6363636363636,0.2,"HA"
20,5,"best","H3",97.6363636363636,0.2,"HA"
20,6,"best","H3",97.6363636363636,0.2,"HA"
20,5,"poisson","H1",93.6363636363636,0.2,"HA"
20,6,"poisson","H1",93.6363636363636,0.2,"HA"
20,5,"poisson","H3",93.8181818181818,0.2,"HA"
20,6,"poisson","H3",94,0.2,"HA"
20,5,"H1","H3",99.2727272727273,0.2,"HA"
20,6,"H1","H3",98.5454545454545,0.2,"HA"
21,5,"best","poisson",92.3636363636364,0.2,"HA"
21,6,"best","poisson",93.6363636363636,0.2,"HA"
21,5,"best","H1",97.4545454545455,0.2,"HA"
21,6,"best","H1",97.6363636363636,0.2,"HA"
21,5,"best","H3",97.8181818181818,0.2,"HA"
21,6,"best","H3",97.6363636363636,0.2,"HA"
21,5,"poisson","H1",92.3636363636364,0.2,"HA"
21,6,"poisson","H1",94.1818181818182,0.2,"HA"
21,5,"poisson","H3",92.1818181818182,0.2,"HA"
21,6,"poisson","H3",93.4545454545455,0.2,"HA"
21,5,"H1","H3",99.2727272727273,0.2,"HA"
21,6,"H1","H3",98.3636363636364,0.2,"HA"
22,5,"best","poisson",93.4545454545455,0.2,"HA"
22,6,"best","poisson",95.4545454545455,0.2,"HA"
22,5,"best","H1",97.4545454545455,0.2,"HA"
22,6,"best","H1",98.5454545454545,0.2,"HA"
22,5,"best","H3",98,0.2,"HA"
22,6,"best","H3",99.0909090909091,0.2,"HA"
22,5,"poisson","H1",93.8181818181818,0.2,"HA"
22,6,"poisson","H1",95.0909090909091,0.2,"HA"
22,5,"poisson","H3",93.8181818181818,0.2,"HA"
22,6,"poisson","H3",94.9090909090909,0.2,"HA"
22,5,"H1","H3",98.3636363636364,0.2,"HA"
22,6,"H1","H3",99.2727272727273,0.2,"HA"
23,5,"best","poisson",95.6363636363636,0.2,"HA"
23,6,"best","poisson",95.0909090909091,0.2,"HA"
23,5,"best","H1",98.3636363636364,0.2,"HA"
23,6,"best","H1",98,0.2,"HA"
23,5,"best","H3",98.3636363636364,0.2,"HA"
23,6,"best","H3",98.5454545454545,0.2,"HA"
23,5,"poisson","H1",95.8181818181818,0.2,"HA"
23,6,"poisson","H1",95.2727272727273,0.2,"HA"
23,5,"poisson","H3",96.1818181818182,0.2,"HA"
23,6,"poisson","H3",95.0909090909091,0.2,"HA"
23,5,"H1","H3",99.6363636363636,0.2,"HA"
23,6,"H1","H3",98.7272727272727,0.2,"HA"
24,5,"best","poisson",94.5454545454545,0.2,"HA"
24,6,"best","poisson",96,0.2,"HA"
24,5,"best","H1",96.9090909090909,0.2,"HA"
24,6,"best","H1",98.3636363636364,0.2,"HA"
24,5,"best","H3",97.0909090909091,0.2,"HA"
24,6,"best","H3",98.3636363636364,0.2,"HA"
24,5,"poisson","H1",94.7272727272727,0.2,"HA"
24,6,"poisson","H1",95.8181818181818,0.2,"HA"
24,5,"poisson","H3",95.8181818181818,0.2,"HA"
24,6,"poisson","H3",96.3636363636364,0.2,"HA"
24,5,"H1","H3",98,0.2,"HA"
24,6,"H1","H3",98.9090909090909,0.2,"HA"
25,5,"best","poisson",94,0.2,"HA"
25,6,"best","poisson",94.7272727272727,0.2,"HA"
25,5,"best","H1",97.6363636363636,0.2,"HA"
25,6,"best","H1",97.4545454545455,0.2,"HA"
25,5,"best","H3",98.1818181818182,0.2,"HA"
25,6,"best","H3",98,0.2,"HA"
25,5,"poisson","H1",94,0.2,"HA"
25,6,"poisson","H1",95.0909090909091,0.2,"HA"
25,5,"poisson","H3",94.3636363636364,0.2,"HA"
