"category","proportion","reconstruction","system","blens"
"True",0.00180202354058069,"SH","RBD",1.6
"Misleading",0.995176625720036,"SH","RBD",1.6
"Absent",0.752264021714315,"SH","RBD",1.6
"True",0.018037816123276,"SS","RBD",1.6
"Misleading",0.953327781247831,"SS","RBD",1.6
"Absent",0.715024986682225,"SS","RBD",1.6
