"category","proportion","reconstruction","system","blens"
"True",0.00925118483412322,"SH","HA",1.6
"Misleading",0.981659510920291,"SH","HA",1.6
"Absent",0.738065992965217,"SH","HA",1.6
"True",0.0152037914691943,"SS","HA",1.6
"Misleading",0.956365503080082,"SS","HA",1.6
"Absent",0.700128412707275,"SS","HA",1.6
