"model","rep","node","identity","blens","system"
"best","1","5","55.0909090909091",1.6,"HA"
"best","1","6","56.9090909090909",1.6,"HA"
"poisson","1","5","54.3636363636364",1.6,"HA"
"poisson","1","6","54.3636363636364",1.6,"HA"
"H1","1","5","58.9090909090909",1.6,"HA"
"H1","1","6","57.8181818181818",1.6,"HA"
"H3","1","5","57.6363636363636",1.6,"HA"
"H3","1","6","56.3636363636364",1.6,"HA"
"best","2","5","57.0909090909091",1.6,"HA"
"best","2","6","60.5454545454545",1.6,"HA"
"poisson","2","5","58",1.6,"HA"
"poisson","2","6","58.3636363636364",1.6,"HA"
"H1","2","5","60.1818181818182",1.6,"HA"
"H1","2","6","61.8181818181818",1.6,"HA"
"H3","2","5","56.9090909090909",1.6,"HA"
"H3","2","6","61.2727272727273",1.6,"HA"
"best","3","5","54.5454545454545",1.6,"HA"
"best","3","6","54.9090909090909",1.6,"HA"
"poisson","3","5","55.2727272727273",1.6,"HA"
"poisson","3","6","54.3636363636364",1.6,"HA"
"H1","3","5","59.4545454545455",1.6,"HA"
"H1","3","6","56.7272727272727",1.6,"HA"
"H3","3","5","56.7272727272727",1.6,"HA"
"H3","3","6","57.0909090909091",1.6,"HA"
"best","4","5","53.6363636363636",1.6,"HA"
"best","4","6","57.6363636363636",1.6,"HA"
"poisson","4","5","53.0909090909091",1.6,"HA"
"poisson","4","6","55.4545454545455",1.6,"HA"
"H1","4","5","54.5454545454545",1.6,"HA"
"H1","4","6","58.5454545454545",1.6,"HA"
"H3","4","5","53.8181818181818",1.6,"HA"
"H3","4","6","57.2727272727273",1.6,"HA"
"best","5","5","56.1818181818182",1.6,"HA"
"best","5","6","56.7272727272727",1.6,"HA"
"poisson","5","5","55.0909090909091",1.6,"HA"
"poisson","5","6","57.0909090909091",1.6,"HA"
"H1","5","5","58.9090909090909",1.6,"HA"
"H1","5","6","58.3636363636364",1.6,"HA"
"H3","5","5","57.6363636363636",1.6,"HA"
"H3","5","6","58",1.6,"HA"
"best","6","5","53.2727272727273",1.6,"HA"
"best","6","6","54",1.6,"HA"
"poisson","6","5","52.3636363636364",1.6,"HA"
"poisson","6","6","53.0909090909091",1.6,"HA"
"H1","6","5","58.9090909090909",1.6,"HA"
"H1","6","6","54.5454545454545",1.6,"HA"
"H3","6","5","57.4545454545455",1.6,"HA"
"H3","6","6","53.8181818181818",1.6,"HA"
"best","7","5","58.3636363636364",1.6,"HA"
"best","7","6","58",1.6,"HA"
"poisson","7","5","57.6363636363636",1.6,"HA"
"poisson","7","6","56.3636363636364",1.6,"HA"
"H1","7","5","60",1.6,"HA"
"H1","7","6","58",1.6,"HA"
"H3","7","5","59.2727272727273",1.6,"HA"
"H3","7","6","57.2727272727273",1.6,"HA"
"best","8","5","55.4545454545455",1.6,"HA"
"best","8","6","53.6363636363636",1.6,"HA"
"poisson","8","5","54.5454545454545",1.6,"HA"
"poisson","8","6","53.4545454545455",1.6,"HA"
"H1","8","5","56.9090909090909",1.6,"HA"
"H1","8","6","58.1818181818182",1.6,"HA"
"H3","8","5","57.0909090909091",1.6,"HA"
"H3","8","6","56.3636363636364",1.6,"HA"
"best","9","5","52.3636363636364",1.6,"HA"
"best","9","6","52.9090909090909",1.6,"HA"
"poisson","9","5","52.5454545454546",1.6,"HA"
"poisson","9","6","53.4545454545455",1.6,"HA"
"H1","9","5","53.0909090909091",1.6,"HA"
"H1","9","6","56.1818181818182",1.6,"HA"
"H3","9","5","54.5454545454545",1.6,"HA"
"H3","9","6","54.3636363636364",1.6,"HA"
"best","10","5","54.9090909090909",1.6,"HA"
"best","10","6","59.4545454545455",1.6,"HA"
"poisson","10","5","54.1818181818182",1.6,"HA"
"poisson","10","6","58",1.6,"HA"
"H1","10","5","55.6363636363636",1.6,"HA"
"H1","10","6","59.4545454545455",1.6,"HA"
"H3","10","5","54.7272727272727",1.6,"HA"
"H3","10","6","58.3636363636364",1.6,"HA"
"best","11","5","56.9090909090909",1.6,"HA"
"best","11","6","57.6363636363636",1.6,"HA"
"poisson","11","5","55.0909090909091",1.6,"HA"
"poisson","11","6","55.6363636363636",1.6,"HA"
"H1","11","5","58.5454545454545",1.6,"HA"
"H1","11","6","58.9090909090909",1.6,"HA"
"H3","11","5","56.7272727272727",1.6,"HA"
"H3","11","6","56.7272727272727",1.6,"HA"
"best","12","5","55.8181818181818",1.6,"HA"
"best","12","6","55.8181818181818",1.6,"HA"
"poisson","12","5","53.6363636363636",1.6,"HA"
"poisson","12","6","52.7272727272727",1.6,"HA"
"H1","12","5","57.6363636363636",1.6,"HA"
"H1","12","6","57.8181818181818",1.6,"HA"
"H3","12","5","56.1818181818182",1.6,"HA"
"H3","12","6","55.8181818181818",1.6,"HA"
"best","13","5","55.8181818181818",1.6,"HA"
"best","13","6","59.0909090909091",1.6,"HA"
"poisson","13","5","57.4545454545455",1.6,"HA"
"poisson","13","6","56.7272727272727",1.6,"HA"
"H1","13","5","58.3636363636364",1.6,"HA"
"H1","13","6","60.9090909090909",1.6,"HA"
"H3","13","5","58.1818181818182",1.6,"HA"
"H3","13","6","60.3636363636364",1.6,"HA"
"best","14","5","57.8181818181818",1.6,"HA"
"best","14","6","56.3636363636364",1.6,"HA"
"poisson","14","5","56.5454545454545",1.6,"HA"
"poisson","14","6","54.5454545454545",1.6,"HA"
"H1","14","5","58.1818181818182",1.6,"HA"
"H1","14","6","57.6363636363636",1.6,"HA"
"H3","14","5","57.4545454545455",1.6,"HA"
"H3","14","6","57.0909090909091",1.6,"HA"
"best","15","5","57.0909090909091",1.6,"HA"
"best","15","6","55.0909090909091",1.6,"HA"
"poisson","15","5","56.3636363636364",1.6,"HA"
"poisson","15","6","54.3636363636364",1.6,"HA"
"H1","15","5","60",1.6,"HA"
"H1","15","6","58.7272727272727",1.6,"HA"
"H3","15","5","57.0909090909091",1.6,"HA"
"H3","15","6","56.3636363636364",1.6,"HA"
"best","16","5","50.5454545454545",1.6,"HA"
"best","16","6","53.6363636363636",1.6,"HA"
"poisson","16","5","52",1.6,"HA"
"poisson","16","6","51.4545454545455",1.6,"HA"
