"category","proportion","reconstruction","system","blens"
"True",0.0151420332535738,"SH","SR",1.6
"Misleading",0.96543905204257,"SH","SR",1.6
"Absent",0.762962791344238,"SH","SR",1.6
"True",0.0596110190809252,"SS","SR",1.6
"Misleading",0.916468565994953,"SS","SR",1.6
"Absent",0.767040452249664,"SS","SR",1.6
