"category","proportion","system","blens"
"Same error",0.250230263157895,"SR",1.6
"Different error",0.108907894736842,"SR",1.6
"Only SH correct",0.0554934210526316,"SR",1.6
"Only SS correct",0.0393026315789474,"SR",1.6
