"category","proportion","system","blens"
"Same error",0.111049450549451,"RBD",0.4
"Different error",0.0241098901098901,"RBD",0.4
"Only SH correct",0.013967032967033,"RBD",0.4
"Only SS correct",0.0164945054945055,"RBD",0.4
