"category","proportion","reconstruction","system","blens"
"True",0.00154075851678131,"SH","RBD",0.4
"Misleading",0.989468683189485,"SH","RBD",0.4
"Absent",0.655751432349052,"SH","RBD",0.4
"True",0.00554264015107615,"SS","RBD",0.4
"Misleading",0.957637184258453,"SS","RBD",0.4
"Absent",0.627324812692816,"SS","RBD",0.4
