"rep","node","model1","model2","identity","blens","system"
1,5,"best","poisson",89.2727272727273,0.4,"HA"
1,6,"best","poisson",88.1818181818182,0.4,"HA"
1,5,"best","H1",97.4545454545455,0.4,"HA"
1,6,"best","H1",96.5454545454545,0.4,"HA"
1,5,"best","H3",97.0909090909091,0.4,"HA"
1,6,"best","H3",96.7272727272727,0.4,"HA"
1,5,"poisson","H1",90.5454545454545,0.4,"HA"
1,6,"poisson","H1",89.0909090909091,0.4,"HA"
1,5,"poisson","H3",89.0909090909091,0.4,"HA"
1,6,"poisson","H3",88.9090909090909,0.4,"HA"
1,5,"H1","H3",96.9090909090909,0.4,"HA"
1,6,"H1","H3",97.4545454545455,0.4,"HA"
2,5,"best","poisson",88.3636363636364,0.4,"HA"
2,6,"best","poisson",89.8181818181818,0.4,"HA"
2,5,"best","H1",93.0909090909091,0.4,"HA"
2,6,"best","H1",94.1818181818182,0.4,"HA"
2,5,"best","H3",94.5454545454545,0.4,"HA"
2,6,"best","H3",95.8181818181818,0.4,"HA"
2,5,"poisson","H1",88.7272727272727,0.4,"HA"
2,6,"poisson","H1",88.3636363636364,0.4,"HA"
2,5,"poisson","H3",88.7272727272727,0.4,"HA"
2,6,"poisson","H3",88.5454545454545,0.4,"HA"
2,5,"H1","H3",97.6363636363636,0.4,"HA"
2,6,"H1","H3",97.0909090909091,0.4,"HA"
3,5,"best","poisson",90.1818181818182,0.4,"HA"
3,6,"best","poisson",90.1818181818182,0.4,"HA"
3,5,"best","H1",96,0.4,"HA"
3,6,"best","H1",94.3636363636364,0.4,"HA"
3,5,"best","H3",96,0.4,"HA"
3,6,"best","H3",96.1818181818182,0.4,"HA"
3,5,"poisson","H1",91.0909090909091,0.4,"HA"
3,6,"poisson","H1",91.2727272727273,0.4,"HA"
3,5,"poisson","H3",91.0909090909091,0.4,"HA"
3,6,"poisson","H3",90.9090909090909,0.4,"HA"
3,5,"H1","H3",97.0909090909091,0.4,"HA"
3,6,"H1","H3",96.7272727272727,0.4,"HA"
4,5,"best","poisson",92.3636363636364,0.4,"HA"
4,6,"best","poisson",91.2727272727273,0.4,"HA"
4,5,"best","H1",96.3636363636364,0.4,"HA"
4,6,"best","H1",95.4545454545455,0.4,"HA"
4,5,"best","H3",97.6363636363636,0.4,"HA"
4,6,"best","H3",96.9090909090909,0.4,"HA"
4,5,"poisson","H1",92.3636363636364,0.4,"HA"
4,6,"poisson","H1",90.9090909090909,0.4,"HA"
4,5,"poisson","H3",92,0.4,"HA"
4,6,"poisson","H3",91.0909090909091,0.4,"HA"
4,5,"H1","H3",98.1818181818182,0.4,"HA"
4,6,"H1","H3",97.2727272727273,0.4,"HA"
5,5,"best","poisson",90.3636363636364,0.4,"HA"
5,6,"best","poisson",88.5454545454545,0.4,"HA"
5,5,"best","H1",94.7272727272727,0.4,"HA"
5,6,"best","H1",94.5454545454545,0.4,"HA"
5,5,"best","H3",94.9090909090909,0.4,"HA"
5,6,"best","H3",94.9090909090909,0.4,"HA"
5,5,"poisson","H1",90.5454545454545,0.4,"HA"
5,6,"poisson","H1",88.5454545454545,0.4,"HA"
5,5,"poisson","H3",90.5454545454545,0.4,"HA"
5,6,"poisson","H3",88.7272727272727,0.4,"HA"
5,5,"H1","H3",97.6363636363636,0.4,"HA"
5,6,"H1","H3",97.4545454545455,0.4,"HA"
6,5,"best","poisson",88.7272727272727,0.4,"HA"
6,6,"best","poisson",89.0909090909091,0.4,"HA"
6,5,"best","H1",96.1818181818182,0.4,"HA"
6,6,"best","H1",96.3636363636364,0.4,"HA"
6,5,"best","H3",97.0909090909091,0.4,"HA"
6,6,"best","H3",95.2727272727273,0.4,"HA"
6,5,"poisson","H1",89.0909090909091,0.4,"HA"
6,6,"poisson","H1",90,0.4,"HA"
6,5,"poisson","H3",88.9090909090909,0.4,"HA"
6,6,"poisson","H3",90,0.4,"HA"
6,5,"H1","H3",98.5454545454545,0.4,"HA"
6,6,"H1","H3",96,0.4,"HA"
7,5,"best","poisson",89.6363636363636,0.4,"HA"
7,6,"best","poisson",90.1818181818182,0.4,"HA"
7,5,"best","H1",95.0909090909091,0.4,"HA"
7,6,"best","H1",96.1818181818182,0.4,"HA"
7,5,"best","H3",95.8181818181818,0.4,"HA"
7,6,"best","H3",96.7272727272727,0.4,"HA"
7,5,"poisson","H1",89.6363636363636,0.4,"HA"
7,6,"poisson","H1",90.1818181818182,0.4,"HA"
7,5,"poisson","H3",90.5454545454545,0.4,"HA"
7,6,"poisson","H3",90.3636363636364,0.4,"HA"
7,5,"H1","H3",97.8181818181818,0.4,"HA"
7,6,"H1","H3",97.0909090909091,0.4,"HA"
8,5,"best","poisson",91.6363636363636,0.4,"HA"
8,6,"best","poisson",89.2727272727273,0.4,"HA"
8,5,"best","H1",95.6363636363636,0.4,"HA"
8,6,"best","H1",94.5454545454545,0.4,"HA"
8,5,"best","H3",96.1818181818182,0.4,"HA"
8,6,"best","H3",95.8181818181818,0.4,"HA"
8,5,"poisson","H1",91.6363636363636,0.4,"HA"
8,6,"poisson","H1",88.9090909090909,0.4,"HA"
8,5,"poisson","H3",91.8181818181818,0.4,"HA"
8,6,"poisson","H3",89.2727272727273,0.4,"HA"
8,5,"H1","H3",98.5454545454545,0.4,"HA"
8,6,"H1","H3",97.0909090909091,0.4,"HA"
9,5,"best","poisson",90.9090909090909,0.4,"HA"
