"category","proportion","reconstruction","system","blens"
"True",0.00313553807016506,"SH","HA",0.4
"Misleading",0.972294052456594,"SH","HA",0.4
"Absent",0.569338862013361,"SH","HA",0.4
"True",0.00365615571200379,"SS","HA",0.4
"Misleading",0.963058736608792,"SS","HA",0.4
"Absent",0.548894263994471,"SS","HA",0.4
