"model","rep","node","identity","blens","system"
"best","1","5","82.8947368421053",0.4,"SR"
"best","1","6","85.5263157894737",0.4,"SR"
"poisson","1","5","84.2105263157895",0.4,"SR"
"poisson","1","6","84.2105263157895",0.4,"SR"
"ER","1","5","85.5263157894737",0.4,"SR"
"ER","1","6","86.8421052631579",0.4,"SR"
"kSR","1","5","84.2105263157895",0.4,"SR"
"kSR","1","6","84.2105263157895",0.4,"SR"
"best","2","5","85.5263157894737",0.4,"SR"
"best","2","6","81.5789473684211",0.4,"SR"
"poisson","2","5","82.8947368421053",0.4,"SR"
"poisson","2","6","80.2631578947368",0.4,"SR"
"ER","2","5","80.2631578947368",0.4,"SR"
"ER","2","6","75",0.4,"SR"
"kSR","2","5","84.2105263157895",0.4,"SR"
"kSR","2","6","82.8947368421053",0.4,"SR"
"best","3","5","82.8947368421053",0.4,"SR"
"best","3","6","81.5789473684211",0.4,"SR"
"poisson","3","5","81.5789473684211",0.4,"SR"
"poisson","3","6","81.5789473684211",0.4,"SR"
"ER","3","5","82.8947368421053",0.4,"SR"
"ER","3","6","84.2105263157895",0.4,"SR"
"kSR","3","5","84.2105263157895",0.4,"SR"
"kSR","3","6","82.8947368421053",0.4,"SR"
"best","4","5","76.3157894736842",0.4,"SR"
"best","4","6","77.6315789473684",0.4,"SR"
"poisson","4","5","76.3157894736842",0.4,"SR"
"poisson","4","6","81.5789473684211",0.4,"SR"
"ER","4","5","76.3157894736842",0.4,"SR"
"ER","4","6","80.2631578947368",0.4,"SR"
"kSR","4","5","73.6842105263158",0.4,"SR"
"kSR","4","6","80.2631578947368",0.4,"SR"
"best","5","5","82.8947368421053",0.4,"SR"
"best","5","6","86.8421052631579",0.4,"SR"
"poisson","5","5","80.2631578947368",0.4,"SR"
"poisson","5","6","85.5263157894737",0.4,"SR"
"ER","5","5","81.5789473684211",0.4,"SR"
"ER","5","6","90.7894736842105",0.4,"SR"
"kSR","5","5","81.5789473684211",0.4,"SR"
"kSR","5","6","89.4736842105263",0.4,"SR"
"best","6","5","85.5263157894737",0.4,"SR"
"best","6","6","89.4736842105263",0.4,"SR"
"poisson","6","5","81.5789473684211",0.4,"SR"
"poisson","6","6","88.1578947368421",0.4,"SR"
"ER","6","5","89.4736842105263",0.4,"SR"
"ER","6","6","89.4736842105263",0.4,"SR"
"kSR","6","5","86.8421052631579",0.4,"SR"
"kSR","6","6","90.7894736842105",0.4,"SR"
"best","7","5","88.1578947368421",0.4,"SR"
"best","7","6","80.2631578947368",0.4,"SR"
"poisson","7","5","86.8421052631579",0.4,"SR"
