"bin_midpoint","model","prop_true","total_elements","prop_correct","blens","system"
0.025,"ER",9178,787416,0.0116558464648928,0.4,"SR"
0.075,"ER",4564,54050,0.0844403330249769,0.4,"SR"
0.125,"ER",3245,24050,0.134927234927235,0.4,"SR"
0.175,"ER",2533,14210,0.178254750175932,0.4,"SR"
0.225,"ER",2134,9640,0.221369294605809,0.4,"SR"
0.275,"ER",1814,7099,0.255528947739118,0.4,"SR"
0.325,"ER",1698,5738,0.295921924015336,0.4,"SR"
0.375,"ER",1599,4798,0.333263859941642,0.4,"SR"
0.425,"ER",1643,4193,0.391843548771762,0.4,"SR"
0.475,"ER",1555,3824,0.406642259414226,0.4,"SR"
0.525,"ER",1662,3517,0.472561842479386,0.4,"SR"
0.575,"ER",1712,3380,0.506508875739645,0.4,"SR"
0.625,"ER",1892,3372,0.561091340450771,0.4,"SR"
0.675,"ER",2166,3584,0.604352678571429,0.4,"SR"
0.725,"ER",2533,3868,0.654860392967942,0.4,"SR"
0.775,"ER",3291,4571,0.719973747538832,0.4,"SR"
0.825,"ER",4523,5890,0.767911714770798,0.4,"SR"
0.875,"ER",6438,7814,0.823905810084464,0.4,"SR"
0.925,"ER",10042,11342,0.885381766884147,0.4,"SR"
0.975,"ER",85891,88651,0.96886667945088,0.4,"SR"
0.025,"best",10104,667282,0.0151420239119293,0.4,"SR"
0.075,"best",4148,50010,0.0829434113177365,0.4,"SR"
0.125,"best",2863,23780,0.120395290159798,0.4,"SR"
0.175,"best",2479,14697,0.16867387902293,0.4,"SR"
0.225,"best",2084,10353,0.201294310827779,0.4,"SR"
0.275,"best",1916,7875,0.243301587301587,0.4,"SR"
0.325,"best",1916,6437,0.29765418673295,0.4,"SR"
0.375,"best",1689,5287,0.319462833364857,0.4,"SR"
0.425,"best",1693,4610,0.367245119305857,0.4,"SR"
0.475,"best",1621,4008,0.404441117764471,0.4,"SR"
0.525,"best",1629,3595,0.453129346314325,0.4,"SR"
0.575,"best",1678,3400,0.493529411764706,0.4,"SR"
0.625,"best",1711,3139,0.545078050334501,0.4,"SR"
0.675,"best",1835,3157,0.581248020272411,0.4,"SR"
0.725,"best",2182,3407,0.640446140299384,0.4,"SR"
0.775,"best",2686,3821,0.702957341010207,0.4,"SR"
0.825,"best",3652,4749,0.769004000842283,0.4,"SR"
0.875,"best",5591,6864,0.814539627039627,0.4,"SR"
0.925,"best",9106,10716,0.849757372153789,0.4,"SR"
0.975,"best",89937,92286,0.974546518431831,0.4,"SR"
0.025,"kSR",10067,770122,0.0130719548331303,0.4,"SR"
0.075,"kSR",4341,48111,0.0902288457941011,0.4,"SR"
0.125,"kSR",3041,21965,0.138447530161621,0.4,"SR"
0.175,"kSR",2305,12889,0.178834665218403,0.4,"SR"
0.225,"kSR",2018,8983,0.224646554603139,0.4,"SR"
0.275,"kSR",1695,6569,0.25803014157406,0.4,"SR"
0.325,"kSR",1482,5340,0.27752808988764,0.4,"SR"
0.375,"kSR",1442,4473,0.322378716744914,0.4,"SR"
0.425,"kSR",1440,3944,0.365111561866126,0.4,"SR"
0.475,"kSR",1389,3488,0.39822247706422,0.4,"SR"
0.525,"kSR",1357,3229,0.420253948590895,0.4,"SR"
0.575,"kSR",1432,3045,0.470279146141215,0.4,"SR"
0.625,"kSR",1557,3020,0.515562913907285,0.4,"SR"
0.675,"kSR",1831,3197,0.57272442915233,0.4,"SR"
0.725,"kSR",2131,3504,0.608162100456621,0.4,"SR"
0.775,"kSR",2756,4096,0.6728515625,0.4,"SR"
0.825,"kSR",3915,5312,0.737010542168675,0.4,"SR"
0.875,"kSR",5978,7491,0.798024295821653,0.4,"SR"
0.925,"kSR",10243,11988,0.854437771104438,0.4,"SR"
0.975,"kSR",90503,92621,0.977132615713499,0.4,"SR"
0.025,"poisson",14209,912960,0.0155636610585349,0.4,"SR"
0.075,"poisson",2244,18901,0.118723877043543,0.4,"SR"
0.125,"poisson",2119,14316,0.148016205644035,0.4,"SR"
0.175,"poisson",2294,10771,0.212979296258472,0.4,"SR"
0.225,"poisson",2607,10601,0.245920196207905,0.4,"SR"
0.275,"poisson",2351,8959,0.262417680544704,0.4,"SR"
0.325,"poisson",1814,6761,0.26830350539861,0.4,"SR"
0.375,"poisson",1424,5186,0.274585422290783,0.4,"SR"
0.425,"poisson",1000,3557,0.281135788585887,0.4,"SR"
0.475,"poisson",686,2386,0.287510477787091,0.4,"SR"
0.525,"poisson",561,1729,0.324465008675535,0.4,"SR"
0.575,"poisson",495,1357,0.364775239498895,0.4,"SR"
0.625,"poisson",489,1213,0.403132728771641,0.4,"SR"
0.675,"poisson",583,1213,0.480626545754328,0.4,"SR"
0.725,"poisson",754,1473,0.511880515953836,0.4,"SR"
0.775,"poisson",946,1755,0.539031339031339,0.4,"SR"
0.825,"poisson",1381,2385,0.579035639412998,0.4,"SR"
0.875,"poisson",2343,3821,0.61319026432871,0.4,"SR"
0.925,"poisson",5139,7228,0.71098505810736,0.4,"SR"
0.975,"poisson",106612,111852,0.953152379930623,0.4,"SR"
