"category","proportion","system","blens"
"Same error",0.129527272727273,"HA",0.4
"Different error",0.0178454545454545,"HA",0.4
"Only SH correct",0.0131818181818182,"HA",0.4
"Only SS correct",0.0166909090909091,"HA",0.4
