"model","rep","mean_max","blens","system"
"best","1","0.976187272727273",0.1,"HA"
"best","1","0.975101818181818",0.1,"HA"
"best","2","0.985809090909091",0.1,"HA"
"best","2","0.973430909090909",0.1,"HA"
"best","3","0.9717",0.1,"HA"
"best","3","0.972961818181818",0.1,"HA"
"best","4","0.985747272727273",0.1,"HA"
"best","4","0.980590909090909",0.1,"HA"
"best","5","0.971769090909091",0.1,"HA"
"best","5","0.972956363636364",0.1,"HA"
"best","6","0.98384",0.1,"HA"
"best","6","0.980509090909091",0.1,"HA"
"best","7","0.983438181818182",0.1,"HA"
"best","7","0.98132",0.1,"HA"
"best","8","0.98522",0.1,"HA"
"best","8","0.980783636363636",0.1,"HA"
"best","9","0.981523636363636",0.1,"HA"
"best","9","0.975785454545455",0.1,"HA"
"best","10","0.985523636363636",0.1,"HA"
"best","10","0.985747272727273",0.1,"HA"
"best","11","0.970709090909091",0.1,"HA"
"best","11","0.977138181818182",0.1,"HA"
"best","12","0.976323636363636",0.1,"HA"
"best","12","0.978583636363636",0.1,"HA"
"best","13","0.972518181818182",0.1,"HA"
"best","13","0.969056363636364",0.1,"HA"
"best","14","0.973861818181818",0.1,"HA"
"best","14","0.973478181818182",0.1,"HA"
"best","15","0.972134545454545",0.1,"HA"
"best","15","0.973194545454545",0.1,"HA"
"best","16","0.97518",0.1,"HA"
"best","16","0.973430909090909",0.1,"HA"
"best","17","0.972747272727273",0.1,"HA"
"best","17","0.970941818181818",0.1,"HA"
"best","18","0.965525454545455",0.1,"HA"
"best","18","0.971309090909091",0.1,"HA"
"best","19","0.968243636363636",0.1,"HA"
"best","19","0.974390909090909",0.1,"HA"
"best","20","0.973909090909091",0.1,"HA"
"best","20","0.975029090909091",0.1,"HA"
"best","21","0.968614545454546",0.1,"HA"
"best","21","0.965385454545455",0.1,"HA"
"best","22","0.976947272727273",0.1,"HA"
"best","22","0.981670909090909",0.1,"HA"
"best","23","0.97444",0.1,"HA"
"best","23","0.977334545454545",0.1,"HA"
"best","24","0.976629090909091",0.1,"HA"
"best","24","0.970821818181818",0.1,"HA"
"best","25","0.976430909090909",0.1,"HA"
"best","25","0.979674545454545",0.1,"HA"
"best","26","0.969572727272727",0.1,"HA"
"best","26","0.97076",0.1,"HA"
"best","27","0.971250909090909",0.1,"HA"
"best","27","0.972350909090909",0.1,"HA"
"best","28","0.976045454545455",0.1,"HA"
"best","28","0.974107272727273",0.1,"HA"
"best","29","0.975083636363636",0.1,"HA"
"best","29","0.973869090909091",0.1,"HA"
"best","30","0.976116363636364",0.1,"HA"
"best","30","0.976723636363636",0.1,"HA"
"best","31","0.975474545454545",0.1,"HA"
"best","31","0.978185454545455",0.1,"HA"
"best","32","0.982358181818182",0.1,"HA"
"best","32","0.978218181818182",0.1,"HA"
"best","33","0.968009090909091",0.1,"HA"
"best","33","0.977209090909091",0.1,"HA"
"best","34","0.976723636363636",0.1,"HA"
"best","34","0.97394",0.1,"HA"
"best","35","0.979909090909091",0.1,"HA"
"best","35","0.984318181818182",0.1,"HA"
"best","36","0.973912727272727",0.1,"HA"
"best","36","0.9743",0.1,"HA"
"best","37","0.976012727272727",0.1,"HA"
"best","37","0.974016363636364",0.1,"HA"
"best","38","0.978094545454545",0.1,"HA"
"best","38","0.982703636363636",0.1,"HA"
"best","39","0.9749",0.1,"HA"
"best","39","0.975574545454545",0.1,"HA"
"best","40","0.979630909090909",0.1,"HA"
"best","40","0.976761818181818",0.1,"HA"
"best","41","0.973847272727273",0.1,"HA"
"best","41","0.971298181818182",0.1,"HA"
"best","42","0.98626",0.1,"HA"
"best","42","0.977741818181818",0.1,"HA"
"best","43","0.972301818181818",0.1,"HA"
"best","43","0.970869090909091",0.1,"HA"
"best","44","0.97782",0.1,"HA"
"best","44","0.976747272727273",0.1,"HA"
"best","45","0.96872",0.1,"HA"
"best","45","0.972618181818182",0.1,"HA"
"best","46","0.980216363636364",0.1,"HA"
"best","46","0.975985454545454",0.1,"HA"
"best","47","0.97844",0.1,"HA"
"best","47","0.980552727272727",0.1,"HA"
"best","48","0.975292727272727",0.1,"HA"
"best","48","0.980110909090909",0.1,"HA"
"best","49","0.980889090909091",0.1,"HA"
"best","49","0.980034545454545",0.1,"HA"
"best","50","0.985094545454545",0.1,"HA"
"best","50","0.979554545454545",0.1,"HA"
"best","51","0.980154545454546",0.1,"HA"
"best","51","0.975936363636364",0.1,"HA"
"best","52","0.982767272727273",0.1,"HA"
"best","52","0.980821818181818",0.1,"HA"
"best","53","0.970541818181818",0.1,"HA"
"best","53","0.975841818181818",0.1,"HA"
"best","54","0.977983636363636",0.1,"HA"
"best","54","0.974398181818182",0.1,"HA"
"best","55","0.970638181818182",0.1,"HA"
"best","55","0.971341818181818",0.1,"HA"
"best","56","0.972270909090909",0.1,"HA"
"best","56","0.973098181818182",0.1,"HA"
"best","57","0.981270909090909",0.1,"HA"
"best","57","0.973423636363636",0.1,"HA"
"best","58","0.980027272727273",0.1,"HA"
"best","58","0.985141818181818",0.1,"HA"
"best","59","0.983709090909091",0.1,"HA"
"best","59","0.97908",0.1,"HA"
"best","60","0.979814545454545",0.1,"HA"
"best","60","0.976458181818182",0.1,"HA"
"best","61","0.980821818181818",0.1,"HA"
"best","61","0.981934545454546",0.1,"HA"
"best","62","0.971625454545455",0.1,"HA"
"best","62","0.980361818181818",0.1,"HA"
"best","63","0.971436363636364",0.1,"HA"
"best","63","0.970010909090909",0.1,"HA"
"best","64","0.982470909090909",0.1,"HA"
"best","64","0.983714545454545",0.1,"HA"
"best","65","0.979541818181818",0.1,"HA"
"best","65","0.968745454545455",0.1,"HA"
"best","66","0.979134545454545",0.1,"HA"
"best","66","0.974572727272727",0.1,"HA"
"best","67","0.974516363636364",0.1,"HA"
"best","67","0.976123636363636",0.1,"HA"
"best","68","0.983161818181818",0.1,"HA"
"best","68","0.982710909090909",0.1,"HA"
"best","69","0.981601818181818",0.1,"HA"
"best","69","0.979127272727273",0.1,"HA"
"best","70","0.975470909090909",0.1,"HA"
"best","70","0.975349090909091",0.1,"HA"
"best","71","0.978065454545455",0.1,"HA"
"best","71","0.97488",0.1,"HA"
"best","72","0.976172727272727",0.1,"HA"
"best","72","0.977350909090909",0.1,"HA"
