"bin_midpoint","model","prop_true","total_elements","prop_correct","blens","system"
0.025,"RBD",1800,217021,0.00829412821800655,0.1,"RBD"
0.075,"RBD",978,13036,0.0750230131942314,0.1,"RBD"
0.125,"RBD",660,5638,0.117062788222774,0.1,"RBD"
0.175,"RBD",478,3112,0.153598971722365,0.1,"RBD"
0.225,"RBD",490,2191,0.223642172523962,0.1,"RBD"
0.275,"RBD",456,1646,0.277035236938032,0.1,"RBD"
0.325,"RBD",450,1413,0.318471337579618,0.1,"RBD"
0.375,"RBD",498,1289,0.386346004654771,0.1,"RBD"
0.425,"RBD",423,1072,0.394589552238806,0.1,"RBD"
0.475,"RBD",458,967,0.473629782833506,0.1,"RBD"
0.525,"RBD",455,929,0.489773950484392,0.1,"RBD"
0.575,"RBD",487,866,0.562355658198614,0.1,"RBD"
0.625,"RBD",557,918,0.606753812636166,0.1,"RBD"
0.675,"RBD",643,969,0.663570691434469,0.1,"RBD"
0.725,"RBD",834,1127,0.740017746228926,0.1,"RBD"
0.775,"RBD",1250,1591,0.785669390320553,0.1,"RBD"
0.825,"RBD",1931,2303,0.8384715588363,0.1,"RBD"
0.875,"RBD",3512,4057,0.86566428395366,0.1,"RBD"
0.925,"RBD",7631,8297,0.919730022899843,0.1,"RBD"
0.975,"RBD",157846,158604,0.995220801493027,0.1,"RBD"
0.025,"best",2367,169396,0.0139731752815887,0.1,"RBD"
0.075,"best",822,9451,0.0869749232885409,0.1,"RBD"
0.125,"best",541,4351,0.124339232360377,0.1,"RBD"
0.175,"best",463,2718,0.170345842531273,0.1,"RBD"
0.225,"best",443,2030,0.218226600985222,0.1,"RBD"
0.275,"best",455,1689,0.26939017169923,0.1,"RBD"
0.325,"best",442,1418,0.311706629055007,0.1,"RBD"
0.375,"best",414,1206,0.343283582089552,0.1,"RBD"
0.425,"best",461,1138,0.405096660808436,0.1,"RBD"
0.475,"best",501,1082,0.463031423290203,0.1,"RBD"
0.525,"best",503,983,0.511698880976602,0.1,"RBD"
0.575,"best",477,897,0.531772575250836,0.1,"RBD"
0.625,"best",503,882,0.570294784580499,0.1,"RBD"
0.675,"best",569,923,0.61646803900325,0.1,"RBD"
0.725,"best",603,932,0.646995708154506,0.1,"RBD"
0.775,"best",739,985,0.750253807106599,0.1,"RBD"
0.825,"best",1022,1342,0.761549925484352,0.1,"RBD"
0.875,"best",1984,2393,0.829084830756373,0.1,"RBD"
0.925,"best",5402,6051,0.89274500082631,0.1,"RBD"
0.975,"best",162938,164278,0.991843095240994,0.1,"RBD"
0.025,"poisson",2805,195324,0.0143607544387786,0.1,"RBD"
0.075,"poisson",375,3229,0.116135026323939,0.1,"RBD"
0.125,"poisson",371,2528,0.146756329113924,0.1,"RBD"
0.175,"poisson",485,2201,0.220354384370741,0.1,"RBD"
0.225,"poisson",815,2827,0.288291475061903,0.1,"RBD"
0.275,"poisson",1026,3387,0.302922940655447,0.1,"RBD"
0.325,"poisson",975,3029,0.321888412017167,0.1,"RBD"
0.375,"poisson",708,2301,0.307692307692308,0.1,"RBD"
0.425,"poisson",465,1427,0.325858444288718,0.1,"RBD"
0.475,"poisson",421,1141,0.36897458369851,0.1,"RBD"
0.525,"poisson",242,656,0.36890243902439,0.1,"RBD"
0.575,"poisson",168,410,0.409756097560976,0.1,"RBD"
0.625,"poisson",137,266,0.515037593984962,0.1,"RBD"
0.675,"poisson",61,168,0.363095238095238,0.1,"RBD"
0.725,"poisson",78,169,0.461538461538462,0.1,"RBD"
0.775,"poisson",109,182,0.598901098901099,0.1,"RBD"
0.825,"poisson",134,209,0.641148325358852,0.1,"RBD"
0.875,"poisson",447,588,0.760204081632653,0.1,"RBD"
0.925,"poisson",1844,2407,0.766098878271708,0.1,"RBD"
0.975,"poisson",169540,171766,0.987040508598908,0.1,"RBD"
