"model","rep","total_blens","mean_blens","blens","system"
"best","1","0.475182","0.0950364",0.1,"HA"
"best","2","0.493667","0.0987334",0.1,"HA"
"best","3","0.612626","0.1225252",0.1,"HA"
"best","4","0.453451","0.0906902",0.1,"HA"
"best","5","0.503652","0.1007304",0.1,"HA"
"best","6","0.468614","0.0937228",0.1,"HA"
"best","7","0.451597","0.0903194",0.1,"HA"
"best","8","0.439348","0.0878696",0.1,"HA"
"best","9","0.478745","0.095749",0.1,"HA"
"best","10","0.450855","0.090171",0.1,"HA"
"best","11","0.535021","0.1070042",0.1,"HA"
"best","12","0.460071","0.0920142",0.1,"HA"
"best","13","0.544911","0.1089822",0.1,"HA"
"best","14","0.572217","0.1144434",0.1,"HA"
"best","15","0.521601","0.1043202",0.1,"HA"
"best","16","0.510012","0.1020024",0.1,"HA"
"best","17","0.54469","0.108938",0.1,"HA"
"best","18","0.528514","0.1057028",0.1,"HA"
"best","19","0.53508","0.107016",0.1,"HA"
"best","20","0.513938","0.1027876",0.1,"HA"
"best","21","0.574657","0.1149314",0.1,"HA"
"best","22","0.500597","0.1001194",0.1,"HA"
"best","23","0.46144","0.092288",0.1,"HA"
"best","24","0.514685","0.102937",0.1,"HA"
"best","25","0.477038","0.0954076",0.1,"HA"
"best","26","0.525754","0.1051508",0.1,"HA"
"best","27","0.536457","0.1072914",0.1,"HA"
"best","28","0.487726","0.0975452",0.1,"HA"
"best","29","0.548701","0.1097402",0.1,"HA"
"best","30","0.520736","0.1041472",0.1,"HA"
"best","31","0.465285","0.093057",0.1,"HA"
"best","32","0.450726","0.0901452",0.1,"HA"
"best","33","0.543864","0.1087728",0.1,"HA"
"best","34","0.524611","0.1049222",0.1,"HA"
"best","35","0.458293","0.0916586",0.1,"HA"
"best","36","0.540546","0.1081092",0.1,"HA"
"best","37","0.525005","0.105001",0.1,"HA"
"best","38","0.490102","0.0980204",0.1,"HA"
"best","39","0.55866","0.111732",0.1,"HA"
"best","40","0.501313","0.1002626",0.1,"HA"
"best","41","0.522537","0.1045074",0.1,"HA"
