"category","proportion","system","blens"
"Same error",0.0211090909090909,"HA",0.1
"Different error",0.00148181818181818,"HA",0.1
"Only SH correct",0.00277272727272727,"HA",0.1
"Only SS correct",0.00460909090909091,"HA",0.1
