"category","proportion","system","blens"
"Same error",0.0239868421052632,"SR",0.1
"Different error",0.00296710526315789,"SR",0.1
"Only SH correct",0.00506578947368421,"SR",0.1
"Only SS correct",0.00610526315789474,"SR",0.1
