"model","rep","mean_max","blens","system"
"best","1","0.977653846153846",0.1,"RBD"
"best","1","0.97571978021978",0.1,"RBD"
"best","2","0.966076923076923",0.1,"RBD"
"best","2","0.972164835164835",0.1,"RBD"
"best","3","0.962868131868132",0.1,"RBD"
"best","3","0.962703296703297",0.1,"RBD"
"best","4","0.964241758241758",0.1,"RBD"
"best","4","0.971225274725275",0.1,"RBD"
"best","5","0.956516483516484",0.1,"RBD"
"best","5","0.967802197802198",0.1,"RBD"
"best","6","0.976615384615385",0.1,"RBD"
"best","6","0.979093406593407",0.1,"RBD"
"best","7","0.978851648351648",0.1,"RBD"
"best","7","0.984318681318681",0.1,"RBD"
"best","8","0.979752747252747",0.1,"RBD"
"best","8","0.979791208791209",0.1,"RBD"
"best","9","0.992791208791209",0.1,"RBD"
"best","9","0.992423076923077",0.1,"RBD"
"best","10","0.9725",0.1,"RBD"
"best","10","0.98082967032967",0.1,"RBD"
"best","11","0.97821978021978",0.1,"RBD"
"best","11","0.958917582417582",0.1,"RBD"
"best","12","0.980104395604396",0.1,"RBD"
"best","12","0.97760989010989",0.1,"RBD"
"best","13","0.971302197802198",0.1,"RBD"
"best","13","0.974906593406593",0.1,"RBD"
"best","14","0.988137362637363",0.1,"RBD"
"best","14","0.983967032967033",0.1,"RBD"
"best","15","0.980956043956044",0.1,"RBD"
"best","15","0.977620879120879",0.1,"RBD"
"best","16","0.984989010989011",0.1,"RBD"
"best","16","0.976714285714286",0.1,"RBD"
"best","17","0.972368131868132",0.1,"RBD"
"best","17","0.97528021978022",0.1,"RBD"
"best","18","0.972824175824176",0.1,"RBD"
"best","18","0.966549450549451",0.1,"RBD"
"best","19","0.969104395604396",0.1,"RBD"
"best","19","0.960423076923077",0.1,"RBD"
"best","20","0.977791208791209",0.1,"RBD"
"best","20","0.97728021978022",0.1,"RBD"
"best","21","0.970093406593407",0.1,"RBD"
"best","21","0.978741758241758",0.1,"RBD"
"best","22","0.978478021978022",0.1,"RBD"
"best","22","0.977824175824176",0.1,"RBD"
"best","23","0.947686813186813",0.1,"RBD"
"best","23","0.949373626373626",0.1,"RBD"
"best","24","0.96167032967033",0.1,"RBD"
"best","24","0.971401098901099",0.1,"RBD"
"best","25","0.983692307692308",0.1,"RBD"
"best","25","0.984131868131868",0.1,"RBD"
"best","26","0.973505494505495",0.1,"RBD"
"best","26","0.973653846153846",0.1,"RBD"
"best","27","0.947307692307692",0.1,"RBD"
"best","27","0.947362637362637",0.1,"RBD"
"best","28","0.970379120879121",0.1,"RBD"
"best","28","0.970516483516484",0.1,"RBD"
"best","29","0.975054945054945",0.1,"RBD"
"best","29","0.988252747252747",0.1,"RBD"
"best","30","0.965368131868132",0.1,"RBD"
"best","30","0.975071428571429",0.1,"RBD"
"best","31","0.978324175824176",0.1,"RBD"
"best","31","0.964005494505495",0.1,"RBD"
"best","32","0.982956043956044",0.1,"RBD"
"best","32","0.968494505494505",0.1,"RBD"
"best","33","0.980598901098901",0.1,"RBD"
"best","33","0.98589010989011",0.1,"RBD"
"best","34","0.977461538461538",0.1,"RBD"
"best","34","0.977758241758242",0.1,"RBD"
"best","35","0.961208791208791",0.1,"RBD"
"best","35","0.956098901098901",0.1,"RBD"
"best","36","0.976774725274725",0.1,"RBD"
