"category","proportion","reconstruction","system","blens"
"True",0.00160364325532639,"SH","SR",0.1
"Misleading",0.959963603275705,"SH","SR",0.1
"Absent",0.46637706342311,"SH","SR",0.1
"True",0.00259637479433796,"SS","SR",0.1
"Misleading",0.923566878980892,"SS","SR",0.1
"Absent",0.427975673327541,"SS","SR",0.1
