"bin_midpoint","model","prop_true","total_elements","prop_correct","blens","system"
0.025,"RBD",696,69195,0.0100585302406243,0.05,"RBD"
0.075,"RBD",298,4551,0.0654801142606021,0.05,"RBD"
0.125,"RBD",213,1760,0.121022727272727,0.05,"RBD"
0.175,"RBD",163,928,0.175646551724138,0.05,"RBD"
0.225,"RBD",147,678,0.216814159292035,0.05,"RBD"
0.275,"RBD",159,545,0.291743119266055,0.05,"RBD"
0.325,"RBD",155,464,0.334051724137931,0.05,"RBD"
0.375,"RBD",153,393,0.389312977099237,0.05,"RBD"
0.425,"RBD",131,339,0.386430678466077,0.05,"RBD"
0.475,"RBD",123,302,0.407284768211921,0.05,"RBD"
0.525,"RBD",153,288,0.53125,0.05,"RBD"
0.575,"RBD",139,261,0.532567049808429,0.05,"RBD"
0.625,"RBD",167,287,0.581881533101045,0.05,"RBD"
0.675,"RBD",231,344,0.671511627906977,0.05,"RBD"
0.725,"RBD",246,350,0.702857142857143,0.05,"RBD"
0.775,"RBD",334,432,0.773148148148148,0.05,"RBD"
0.825,"RBD",649,759,0.855072463768116,0.05,"RBD"
0.875,"RBD",1367,1553,0.880231809401159,0.05,"RBD"
0.925,"RBD",3771,4022,0.937593237195425,0.05,"RBD"
0.975,"RBD",172650,173146,0.997135365529669,0.05,"RBD"
0.025,"best",865,60240,0.014359229747676,0.05,"RBD"
0.075,"best",271,3185,0.0850863422291994,0.05,"RBD"
0.125,"best",180,1400,0.128571428571429,0.05,"RBD"
0.175,"best",167,848,0.196933962264151,0.05,"RBD"
0.225,"best",158,686,0.230320699708455,0.05,"RBD"
0.275,"best",139,526,0.26425855513308,0.05,"RBD"
0.325,"best",144,453,0.317880794701987,0.05,"RBD"
0.375,"best",184,449,0.409799554565702,0.05,"RBD"
0.425,"best",182,427,0.426229508196721,0.05,"RBD"
0.475,"best",176,388,0.45360824742268,0.05,"RBD"
0.525,"best",199,401,0.496259351620948,0.05,"RBD"
0.575,"best",171,338,0.505917159763314,0.05,"RBD"
0.625,"best",172,326,0.52760736196319,0.05,"RBD"
0.675,"best",209,344,0.607558139534884,0.05,"RBD"
0.725,"best",240,353,0.679886685552408,0.05,"RBD"
0.775,"best",287,396,0.724747474747475,0.05,"RBD"
0.825,"best",360,458,0.786026200873362,0.05,"RBD"
0.875,"best",661,766,0.862924281984334,0.05,"RBD"
0.925,"best",2094,2301,0.910039113428944,0.05,"RBD"
0.975,"best",175022,175713,0.996067450900047,0.05,"RBD"
0.025,"poisson",975,64914,0.0150198724466217,0.05,"RBD"
0.075,"poisson",101,791,0.127686472819216,0.05,"RBD"
0.125,"poisson",168,888,0.189189189189189,0.05,"RBD"
0.175,"poisson",236,892,0.26457399103139,0.05,"RBD"
0.225,"poisson",359,1161,0.309216192937123,0.05,"RBD"
0.275,"poisson",390,1191,0.327455919395466,0.05,"RBD"
0.325,"poisson",425,1237,0.34357316087308,0.05,"RBD"
0.375,"poisson",301,954,0.315513626834382,0.05,"RBD"
0.425,"poisson",226,659,0.342943854324734,0.05,"RBD"
0.475,"poisson",155,440,0.352272727272727,0.05,"RBD"
0.525,"poisson",127,371,0.342318059299191,0.05,"RBD"
0.575,"poisson",101,255,0.396078431372549,0.05,"RBD"
0.625,"poisson",61,140,0.435714285714286,0.05,"RBD"
0.675,"poisson",72,129,0.558139534883721,0.05,"RBD"
0.725,"poisson",30,66,0.454545454545455,0.05,"RBD"
0.775,"poisson",58,108,0.537037037037037,0.05,"RBD"
0.825,"poisson",35,54,0.648148148148148,0.05,"RBD"
0.875,"poisson",64,105,0.60952380952381,0.05,"RBD"
0.925,"poisson",379,461,0.822125813449024,0.05,"RBD"
0.975,"poisson",177532,178474,0.994721920279705,0.05,"RBD"
