"category","proportion","system","blens"
"Same error",0.00544545454545455,"HA",0.05
"Different error",0.000563636363636364,"HA",0.05
"Only SH correct",0.000845454545454546,"HA",0.05
"Only SS correct",0.00161818181818182,"HA",0.05
