"category","proportion","reconstruction","system","blens"
"True",0.000777521582926698,"SH","SR",0.05
"Misleading",0.96100278551532,"SH","SR",0.05
"Absent",0.425837320574163,"SH","SR",0.05
"True",0.00128693227518902,"SS","SR",0.05
"Misleading",0.920612813370474,"SS","SR",0.05
"Absent",0.35933014354067,"SS","SR",0.05
