"category","proportion","system","blens"
"Same error",0.00786184210526316,"SR",0.05
"Different error",0.000677631578947368,"SR",0.05
"Only SH correct",0.00201315789473684,"SR",0.05
"Only SS correct",0.00261842105263158,"SR",0.05
