"category","proportion","reconstruction","system","blens"
"True",9.23429246851106e-06,"SH","HA",0.05
"Misleading",0.983783783783784,"SH","HA",0.05
"Absent",0.354260089686099,"SH","HA",0.05
"True",7.38743397480885e-05,"SS","HA",0.05
"Misleading",0.937837837837838,"SS","HA",0.05
"Absent",0.298206278026906,"SS","HA",0.05
