"model","rep","node","identity","blens","system"
"ER","16","6","97.3684210526316",0.05,"SR"
"kSR","16","5","100",0.05,"SR"
"kSR","16","6","97.3684210526316",0.05,"SR"
"best","17","5","100",0.05,"SR"
"best","17","6","100",0.05,"SR"
"poisson","17","5","100",0.05,"SR"
"poisson","17","6","100",0.05,"SR"
"ER","17","5","100",0.05,"SR"
"ER","17","6","100",0.05,"SR"
"kSR","17","5","100",0.05,"SR"
"kSR","17","6","100",0.05,"SR"
"best","18","5","98.6842105263158",0.05,"SR"
"best","18","6","100",0.05,"SR"
"poisson","18","5","98.6842105263158",0.05,"SR"
"poisson","18","6","100",0.05,"SR"
"ER","18","5","97.3684210526316",0.05,"SR"
"ER","18","6","100",0.05,"SR"
"kSR","18","5","98.6842105263158",0.05,"SR"
"kSR","18","6","100",0.05,"SR"
"best","19","5","94.7368421052632",0.05,"SR"
"best","19","6","93.4210526315789",0.05,"SR"
"poisson","19","5","96.0526315789474",0.05,"SR"
"poisson","19","6","93.4210526315789",0.05,"SR"
"ER","19","5","96.0526315789474",0.05,"SR"
"ER","19","6","96.0526315789474",0.05,"SR"
"kSR","19","5","94.7368421052632",0.05,"SR"
"kSR","19","6","93.4210526315789",0.05,"SR"
"best","20","5","100",0.05,"SR"
"best","20","6","100",0.05,"SR"
"poisson","20","5","98.6842105263158",0.05,"SR"
"poisson","20","6","100",0.05,"SR"
"ER","20","5","100",0.05,"SR"
"ER","20","6","100",0.05,"SR"
"kSR","20","5","100",0.05,"SR"
"kSR","20","6","100",0.05,"SR"
"best","21","5","100",0.05,"SR"
"best","21","6","100",0.05,"SR"
"poisson","21","5","98.6842105263158",0.05,"SR"
"poisson","21","6","100",0.05,"SR"
"ER","21","5","100",0.05,"SR"
"ER","21","6","100",0.05,"SR"
"kSR","21","5","100",0.05,"SR"
"kSR","21","6","100",0.05,"SR"
"best","22","5","98.6842105263158",0.05,"SR"
"best","22","6","98.6842105263158",0.05,"SR"
"poisson","22","5","98.6842105263158",0.05,"SR"
"poisson","22","6","98.6842105263158",0.05,"SR"
"ER","22","5","98.6842105263158",0.05,"SR"
"ER","22","6","98.6842105263158",0.05,"SR"
"kSR","22","5","98.6842105263158",0.05,"SR"
"kSR","22","6","98.6842105263158",0.05,"SR"
"best","23","5","100",0.05,"SR"
"best","23","6","98.6842105263158",0.05,"SR"
"poisson","23","5","98.6842105263158",0.05,"SR"
"poisson","23","6","98.6842105263158",0.05,"SR"
