"category","proportion","reconstruction","system","blens"
"True",0.00677352486058801,"SH","HA",0.8
"Misleading",0.972411372411372,"SH","HA",0.8
"Absent",0.654533445859172,"SH","HA",0.8
"True",0.00658374937958016,"SS","HA",0.8
"Misleading",0.965110565110565,"SS","HA",0.8
"Absent",0.630792940226764,"SS","HA",0.8
