"category","proportion","system","blens"
"Same error",0.195565789473684,"SR",0.8
"Different error",0.0608157894736842,"SR",0.8
"Only SH correct",0.0367039473684211,"SR",0.8
"Only SS correct",0.0296513157894737,"SR",0.8
