"category","proportion","reconstruction","system","blens"
"True",0.0116250957005279,"SH","SR",0.8
"Misleading",0.961706488323176,"SH","SR",0.8
"Absent",0.716328858471528,"SH","SR",0.8
"True",0.0312185195632026,"SS","SR",0.8
"Misleading",0.923736583787282,"SS","SR",0.8
"Absent",0.711386037261268,"SS","SR",0.8
