"category","proportion","system","blens"
"Same error",0.217545454545455,"HA",0.8
"Different error",0.0459727272727273,"HA",0.8
"Only SH correct",0.0218454545454545,"HA",0.8
"Only SS correct",0.0287909090909091,"HA",0.8
