"bin_midpoint","model","prop_true","total_elements","prop_correct","blens","system"
0.025,"H1",10523,1155457,0.00910721904839384,0.8,"HA"
0.075,"H1",6109,84789,0.0720494403755204,0.8,"HA"
0.125,"H1",4651,37858,0.122853822177611,0.8,"HA"
0.175,"H1",3850,21918,0.175654713021261,0.8,"HA"
0.225,"H1",3247,14490,0.224085576259489,0.8,"HA"
0.275,"H1",2779,10317,0.26936124842493,0.8,"HA"
0.325,"H1",2625,7910,0.331858407079646,0.8,"HA"
0.375,"H1",2404,6430,0.373872472783826,0.8,"HA"
0.425,"H1",2281,5513,0.413749319789588,0.8,"HA"
0.475,"H1",2294,4827,0.475243422415579,0.8,"HA"
0.525,"H1",2206,4218,0.522996680891418,0.8,"HA"
0.575,"H1",2154,3817,0.56431752685355,0.8,"HA"
0.625,"H1",2329,3717,0.626580575733118,0.8,"HA"
0.675,"H1",2535,3882,0.653013910355487,0.8,"HA"
0.725,"H1",3158,4388,0.719690063810392,0.8,"HA"
0.775,"H1",4420,5770,0.766031195840555,0.8,"HA"
0.825,"H1",5874,7162,0.820161965931304,0.8,"HA"
0.875,"H1",6605,7609,0.868050992246024,0.8,"HA"
0.925,"H1",7819,8449,0.925434962717481,0.8,"HA"
0.975,"H1",32013,32592,0.982234904270987,0.8,"HA"
0.025,"H3",12026,926292,0.0129829470620495,0.8,"HA"
0.075,"H3",6049,75294,0.0803384067787606,0.8,"HA"
0.125,"H3",4297,33884,0.126815015936725,0.8,"HA"
0.175,"H3",3212,18748,0.171324941327075,0.8,"HA"
0.225,"H3",2648,12242,0.216304525404346,0.8,"HA"
0.275,"H3",2333,9065,0.257363485934914,0.8,"HA"
0.325,"H3",2297,7322,0.313712100518984,0.8,"HA"
0.375,"H3",2149,6169,0.348354676608851,0.8,"HA"
0.425,"H3",2100,5453,0.385109114249037,0.8,"HA"
0.475,"H3",1984,4586,0.432621020497165,0.8,"HA"
0.525,"H3",1725,3735,0.461847389558233,0.8,"HA"
0.575,"H3",1470,3029,0.485308682733575,0.8,"HA"
0.625,"H3",1833,3250,0.564,0.8,"HA"
0.675,"H3",2007,3374,0.59484291641968,0.8,"HA"
0.725,"H3",2587,3930,0.658269720101781,0.8,"HA"
0.775,"H3",3074,4383,0.70134610997034,0.8,"HA"
0.825,"H3",4148,5472,0.758040935672515,0.8,"HA"
0.875,"H3",6674,8210,0.812911084043849,0.8,"HA"
0.925,"H3",8839,10230,0.864027370478983,0.8,"HA"
0.975,"H3",38086,39258,0.970146212236996,0.8,"HA"
0.025,"best",11900,833525,0.0142767163552383,0.8,"HA"
0.075,"best",5639,81226,0.0694235835816118,0.8,"HA"
0.125,"best",4374,37789,0.115747968985684,0.8,"HA"
0.175,"best",3737,22617,0.165229694477605,0.8,"HA"
0.225,"best",3036,14761,0.205677122146196,0.8,"HA"
0.275,"best",2748,10796,0.25453871804372,0.8,"HA"
0.325,"best",2456,7968,0.308232931726908,0.8,"HA"
0.375,"best",2190,6136,0.356910039113429,0.8,"HA"
0.425,"best",1957,4899,0.399469279444785,0.8,"HA"
0.475,"best",1986,4408,0.4505444646098,0.8,"HA"
0.525,"best",2006,3948,0.508105369807497,0.8,"HA"
0.575,"best",1939,3513,0.551949900370054,0.8,"HA"
0.625,"best",2097,3550,0.590704225352113,0.8,"HA"
0.675,"best",2099,3340,0.628443113772455,0.8,"HA"
0.725,"best",2340,3508,0.667046750285063,0.8,"HA"
0.775,"best",3019,4084,0.73922624877571,0.8,"HA"
0.825,"best",4074,5273,0.772615209558126,0.8,"HA"
0.875,"best",5727,6985,0.819899785254116,0.8,"HA"
0.925,"best",8221,9560,0.859937238493724,0.8,"HA"
0.975,"best",37616,38925,0.966371226718048,0.8,"HA"
0.025,"poisson",18752,1156394,0.016215926405706,0.8,"HA"
0.075,"poisson",3187,24264,0.131346851302341,0.8,"HA"
0.125,"poisson",2295,25254,0.0908766928011404,0.8,"HA"
0.175,"poisson",548,2315,0.236717062634989,0.8,"HA"
0.225,"poisson",4196,17251,0.243232276389775,0.8,"HA"
0.275,"poisson",5652,24003,0.235470566179228,0.8,"HA"
0.325,"poisson",1961,8510,0.230434782608696,0.8,"HA"
0.375,"poisson",895,3667,0.244068721025361,0.8,"HA"
0.425,"poisson",944,3007,0.313934153641503,0.8,"HA"
0.475,"poisson",702,1809,0.388059701492537,0.8,"HA"
0.525,"poisson",499,1197,0.41687552213868,0.8,"HA"
0.575,"poisson",187,455,0.410989010989011,0.8,"HA"
0.625,"poisson",64,156,0.41025641025641,0.8,"HA"
0.675,"poisson",76,152,0.5,0.8,"HA"
0.725,"poisson",279,519,0.53757225433526,0.8,"HA"
0.775,"poisson",1671,3248,0.514470443349754,0.8,"HA"
0.825,"poisson",4529,8630,0.524797219003476,0.8,"HA"
0.875,"poisson",1760,3334,0.527894421115777,0.8,"HA"
0.925,"poisson",7238,9175,0.788882833787466,0.8,"HA"
0.975,"poisson",52962,57717,0.917615260668434,0.8,"HA"
