"category","proportion","system","blens"
"Same error",0.165851648351648,"RBD",0.8
"Different error",0.044978021978022,"RBD",0.8
"Only SH correct",0.0206483516483516,"RBD",0.8
"Only SS correct",0.0235274725274725,"RBD",0.8
