"category","proportion","reconstruction","system","blens"
"True",0.00207855559560972,"SH","RBD",0.8
"Misleading",0.993219164521877,"SH","RBD",0.8
"Absent",0.71028424101601,"SH","RBD",0.8
"True",0.0102470489879505,"SS","RBD",0.8
"Misleading",0.957384676301722,"SS","RBD",0.8
"Absent",0.682751376643219,"SS","RBD",0.8
